period,cohort,family,comparison,candidate_model,reference_model,n_orders,paired_order_id_sha256,delta_log_loss,delta_brier,delta_average_precision,delta_roc_auc,delta_top_10pct_lift,delta_calibration_intercept,delta_calibration_slope,replicates,valid_replicates,n_blocks,delta_log_loss_lower,delta_log_loss_upper,delta_brier_lower,delta_brier_upper,invalid_reason,calibration_not_systematically_worse,calibration_systematically_worse,cohort_month
later,2018-01,xgboost,M5-M4,M5,M4,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,-8.31325709049e-05,-2.98037284637e-06,-0.0046694434423,0.00524531361325,-0.173672702258,-0.615209355941,-0.195078429121,500,500,5,-0.000486623209632,0.000202429536912,-3.64035355554e-05,1.9303266461e-05,,False,True,2018-01
later,2018-01,xgboost,M4E-M4,M4E,M4,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,0.000628809878396,5.57228017242e-05,-0.00773302777082,-0.0301232356486,-0.347345404516,-4.30885404374,-1.3928097881,500,500,5,4.71454217824e-05,0.00121326306747,4.54395155731e-06,0.000104583313404,,False,True,2018-01
later,2018-02,logistic_l2,M1-M0,M1,M0,6555,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,0.0751378792949,0.00503271880948,0.152265809501,0.189171357675,2.2337173392,1.70931308513,0.103683188733,500,500,5,0.0451441832213,0.112738451751,0.00280056997131,0.00774214565021,,False,True,2018-02
later,2018-02,logistic_l2,M2-M1,M2,M1,6555,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,-0.00996768241447,-0.000835051014511,0.00412797155121,0.00799930320728,-0.0431636200811,-0.480932160279,-0.108446795534,500,500,5,-0.0166701110503,-0.00514856103285,-0.00130075194695,-0.000421080306429,,True,False,2018-02
later,2018-02,logistic_l2,M3-M1,M3,M1,6555,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,-0.0497073138224,-0.00415834622356,0.0527346355565,0.0219700739805,0.464008915872,-0.460901447702,0.0111419459654,500,500,5,-0.0774206413279,-0.0240124368988,-0.0067355901121,-0.0017413611546,,True,False,2018-02
later,2018-02,logistic_l2,M4-M1,M4,M1,6555,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,-0.05890366868,-0.00537948660054,0.0553925443162,0.028396221818,0.410054390771,-0.87897761119,-0.0912243899639,500,500,5,-0.0938472851239,-0.02863835942,-0.00885420388958,-0.00230244508248,,True,False,2018-02
later,2018-02,logistic_l2,M4-M2,M4,M2,6555,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,-0.0489359862656,-0.00454443558603,0.051264572765,0.0203969186107,0.453218010852,-0.398045450911,0.0172224055705,500,500,5,-0.0762718026041,-0.0240423698039,-0.00742529896885,-0.00193452639,,False,True,2018-02
later,2018-02,logistic_l2,M4-M3,M4,M3,6555,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,-0.00919635485762,-0.00122114037698,0.00265790875977,0.00642614783747,-0.0539545251014,-0.418076163488,-0.102366335929,500,500,5,-0.0157995104651,-0.00462592252116,-0.00202133976839,-0.00056108392788,,False,True,2018-02
later,2018-02,logistic_l2,M5-M4,M5,M4,6555,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,0.0119316152193,0.00121713406409,0.00127905688326,-0.00129957981404,0.0647454301217,0.256846623276,0.0360405581306,500,500,5,0.00672648961247,0.0174896672738,0.000584824399022,0.00184045414679,,False,True,2018-02
later,2018-02,logistic_l2,M4E-M4,M4E,M4,6555,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,0.00215470863093,0.000289486695337,0.000715165275272,-0.000158466626276,0.0215818100406,0.113724971767,0.0280456048781,500,500,5,0.00112135366837,0.00310675155969,0.000128337698262,0.000436733679201,,False,True,2018-02
later,2018-02,xgboost,M1-M0,M1,M0,6555,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,0.00478416602354,0.000423279929788,0.0668741632521,0.118789729367,0.37768167571,-12.6244214179,-4.47003522198,500,500,5,0.00287193817333,0.00648453590469,0.000255194614914,0.000568439288641,,False,True,2018-02
later,2018-02,xgboost,M2-M1,M2,M1,6555,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,0.00624094554507,0.000597698844349,-0.0360198874617,-0.0628918739619,-0.258981720487,-2.76648507809,-0.974349387562,500,500,5,0.0013507600878,0.0116013085342,0.000124521910295,0.00111798297576,,True,False,2018-02
later,2018-02,xgboost,M3-M1,M3,M1,6555,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,0.00500234541072,0.000480050374713,-0.0578301604719,-0.077559437455,-0.550336156034,-11.7404501244,-3.93229752373,500,500,5,0.000584987148354,0.00988874434559,5.18656187079e-05,0.000954321689244,,True,False,2018-02
later,2018-02,xgboost,M4-M1,M4,M1,6555,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,-0.00443487577373,-0.000426926306753,-0.0277350693713,-0.0174740151184,-0.528754345994,-8.08216830546,-2.66918975888,500,500,5,-0.0057950203811,-0.00260877786217,-0.000561664936643,-0.000245572676659,,True,False,2018-02
later,2018-02,xgboost,M4-M2,M4,M2,6555,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,-0.0106758213188,-0.0010246251511,0.00828481809037,0.0454178588435,-0.269772625507,-5.31568322737,-1.69484037132,500,500,5,-0.0156858890879,-0.00499672992435,-0.00150401547278,-0.00047745003567,,False,True,2018-02
later,2018-02,xgboost,M4-M3,M4,M3,6555,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,-0.00943722118445,-0.000906976681466,0.0300950911006,0.0600854223366,0.0215818100406,3.65828181898,1.26310776485,500,500,5,-0.0146306313501,-0.00444232758493,-0.0014058225709,-0.000424993836733,,False,True,2018-02
later,2018-02,xgboost,M5-M4,M5,M4,6555,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,-0.00420913900938,-0.00042253952014,0.0230347675735,0.0309862686558,0.884854211663,6.82144122135,2.34380550865,500,500,5,-0.00984451818801,0.000666779548538,-0.000993232159652,6.98866037982e-05,,False,True,2018-02
later,2018-02,xgboost,M4E-M4,M4E,M4,6555,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,-0.00389204882562,-0.000405646366244,0.0184337719548,0.0224824046409,0.0971181451825,0.252747936987,0.102669595943,500,500,5,-0.00931362992296,0.000708497570859,-0.00096960808544,7.29099826163e-05,,False,True,2018-02
later,2018-03,logistic_l2,M1-M0,M1,M0,7003,184fab6850ceddcb6640c6d7c40a99ad76b6567a0af96fd41049a0eaafe65828,0.0470491201028,0.00283013221565,0.161664283771,0.218342311979,1.84303727034,10.6896892804,3.6094145509,500,500,5,0.0138288364009,0.0808270151432,0.00013810695423,0.00539240228262,,False,True,2018-03
later,2018-03,logistic_l2,M2-M1,M2,M1,7003,184fab6850ceddcb6640c6d7c40a99ad76b6567a0af96fd41049a0eaafe65828,-0.0165716058931,-0.00178006105574,0.00731026559506,0.00477694920652,-0.0376130055171,-0.259426507711,-0.0471542588904,500,500,5,-0.0233856060146,-0.00917328622766,-0.00241672645002,-0.00107161794861,,True,False,2018-03
later,2018-03,logistic_l2,M3-M1,M3,M1,7003,184fab6850ceddcb6640c6d7c40a99ad76b6567a0af96fd41049a0eaafe65828,-0.0544221061456,-0.00606096267946,0.0204320443477,0.0171201103975,0.112839016551,-0.478998351059,-0.0321127452629,500,500,5,-0.0765572369797,-0.0329513882013,-0.00806545477847,-0.00417331666763,,True,False,2018-03
later,2018-03,logistic_l2,M4-M1,M4,M1,7003,184fab6850ceddcb6640c6d7c40a99ad76b6567a0af96fd41049a0eaafe65828,-0.07009967029,-0.0083005979654,0.0297773977502,0.0248861525397,0.195587628689,-0.621038714128,-0.0453698811388,500,500,5,-0.0968995057451,-0.043601046942,-0.0108806080282,-0.00569286282996,,True,False,2018-03
later,2018-03,logistic_l2,M4-M2,M4,M2,7003,184fab6850ceddcb6640c6d7c40a99ad76b6567a0af96fd41049a0eaafe65828,-0.0535280643969,-0.00652053690965,0.0224671321551,0.0201092033332,0.233200634206,-0.361612206417,0.00178437775167,500,500,5,-0.0746777718209,-0.0336861957075,-0.00861881183516,-0.00454061727574,,False,True,2018-03
later,2018-03,logistic_l2,M4-M3,M4,M3,7003,184fab6850ceddcb6640c6d7c40a99ad76b6567a0af96fd41049a0eaafe65828,-0.0156775641444,-0.00223963528594,0.00934535340249,0.00776604214214,0.0827486121376,-0.142040363069,-0.0132571358759,500,500,5,-0.0236017332103,-0.00831167657721,-0.0032165915823,-0.00125367494251,,False,True,2018-03
later,2018-03,logistic_l2,M5-M4,M5,M4,7003,184fab6850ceddcb6640c6d7c40a99ad76b6567a0af96fd41049a0eaafe65828,0.00199575796735,0.000222654459235,0.00222409346923,0.000430444243936,-0.0300904044137,0.0117413492329,-0.00279079635161,500,500,5,0.00121825965391,0.00343603157657,8.93527710147e-05,0.000504503414952,,False,True,2018-03
later,2018-03,logistic_l2,M4E-M4,M4E,M4,7003,184fab6850ceddcb6640c6d7c40a99ad76b6567a0af96fd41049a0eaafe65828,0.00177530943623,0.000296118265382,-0.00539121651055,-0.00175176476832,-0.0526582077239,-0.030859992432,-0.0134105118663,500,500,5,0.000227583723612,0.00315854183012,3.6394612493e-05,0.000521217652512,,False,True,2018-03
later,2018-03,xgboost,M1-M0,M1,M0,7003,184fab6850ceddcb6640c6d7c40a99ad76b6567a0af96fd41049a0eaafe65828,0.00799510133235,0.000728454218024,0.00115860758062,-0.092170266971,0.278336240826,-7.50631308386,-2.64694834023,500,500,5,0.0034343240294,0.0123336496335,0.00029836843722,0.00114117523542,,False,True,2018-03
later,2018-03,xgboost,M2-M1,M2,M1,7003,184fab6850ceddcb6640c6d7c40a99ad76b6567a0af96fd41049a0eaafe65828,-0.0019727887492,-0.00017062117036,0.00205539216063,0.041800660793,0,1.17963219253,0.41407146881,500,500,5,-0.0033713374575,-0.000315129278607,-0.00029859736613,-6.02103684382e-06,,True,False,2018-03
later,2018-03,xgboost,M3-M1,M3,M1,7003,184fab6850ceddcb6640c6d7c40a99ad76b6567a0af96fd41049a0eaafe65828,-0.0144750670994,-0.00143908602218,0.107191970664,0.203612334802,0.413743060688,11.7693866835,4.12741637171,500,500,5,-0.0201347746851,-0.00886590199541,-0.00199899843141,-0.000882786691294,,True,False,2018-03
later,2018-03,xgboost,M4-M1,M4,M1,7003,184fab6850ceddcb6640c6d7c40a99ad76b6567a0af96fd41049a0eaafe65828,-0.013605573129,-0.00133869727756,0.105384181364,0.19997160448,0.624375891583,13.5325863413,4.73668897647,500,500,5,-0.0186649839807,-0.00809485590502,-0.00183512121136,-0.00079711272906,,True,False,2018-03
later,2018-03,xgboost,M4-M2,M4,M2,7003,184fab6850ceddcb6640c6d7c40a99ad76b6567a0af96fd41049a0eaafe65828,-0.0116327843798,-0.0011680761072,0.103328789204,0.158170943687,0.624375891583,12.3529541488,4.32261750766,500,500,5,-0.0159702103809,-0.00780668019719,-0.00159936983881,-0.000789192931436,,False,True,2018-03
later,2018-03,xgboost,M4-M3,M4,M3,7003,184fab6850ceddcb6640c6d7c40a99ad76b6567a0af96fd41049a0eaafe65828,0.000869493970438,0.000100388744616,-0.00180778929973,-0.00364073032217,0.210632830896,1.76319965781,0.609272604764,500,500,5,-1.14741014233e-05,0.00162195720778,3.46579448475e-06,0.000178751306868,,False,True,2018-03
