period,cohort,family,model_id,quantile,fitted_model_sha256,model_hash_type,constituent_fitted_model_count,n_train_breaches,unconditional_training_quantile,unconditional_reference_loss,q1_reference_loss,skill_vs_unconditional,skill_vs_q1,order_id_sha256,n_orders,pinball_loss,empirical_coverage,coverage_error,median_prediction,mean_prediction,median_actual,mean_actual,mean_exceedance,p90_absolute_error,origin,cohort_month
aggregate,later_pooled,xgboost_quantile,Q2,0.9,eaeb76ea8e450da7d565088feb82e341b3617f9169cba154df8b3329b77cd3f7,composite_fitted_models,6,,,2.76583261432,2.86167395029,-0.012756438216,0.0211621464082,118782cfc610a9028878d750598e5fe92f9ee67f521716c506bc37135f89b805,3477,2.80111478718,0.873741731378,-0.0262582686224,20.5187416077,21.3806876845,7,10.6450963474,13.6827130003,22.9964969635,,later_pooled
aggregate,later_pooled,xgboost_quantile,Q3,0.5,f1d794a0538d428756e682338ca9e1b19f0b7acc0af8316f6e9f61a93411fcda,composite_fitted_models,6,,,3.59792924935,3.57105309496,0.00432990468282,-0.00316362243422,118782cfc610a9028878d750598e5fe92f9ee67f521716c506bc37135f89b805,3477,3.58235055865,0.429105550762,-0.0708944492378,5.96649026871,6.10442129277,7,10.6450963474,10.2517866372,16.4457878113,,later_pooled
aggregate,later_pooled,xgboost_quantile,Q3,0.9,9cf89d2ebad341bf501bd87895a7417c8b72c3ad88185fbe304db7cc33e86846,composite_fitted_models,6,,,2.76583261432,2.86167395029,-0.00176472218022,0.0317857349886,118782cfc610a9028878d750598e5fe92f9ee67f521716c506bc37135f89b805,3477,2.77071354048,0.875754961173,-0.0242450388266,21.2137031555,21.86952077,7,10.6450963474,13.2662930753,24.1703193665,,later_pooled
aggregate,later_pooled,xgboost_quantile,Q4,0.5,4ab7751d9162871ab562349599690d93b9ebbd03280d4d315878de8e86f6a627,composite_fitted_models,6,,,3.59792924935,3.57105309496,0.00645066420618,-0.00102690183191,118782cfc610a9028878d750598e5fe92f9ee67f521716c506bc37135f89b805,3477,3.57472021593,0.433132010354,-0.0668679896462,6.07063388824,6.13914746912,7,10.6450963474,10.2805146198,16.6320145607,,later_pooled
aggregate,later_pooled,xgboost_quantile,Q4,0.9,b35fabe5f89de0344fa060789de93385d8c20ff85c9eb4d8180a58b4fef06e9a,composite_fitted_models,6,,,2.76583261432,2.86167395029,-0.0135464385746,0.0203986042315,118782cfc610a9028878d750598e5fe92f9ee67f521716c506bc37135f89b805,3477,2.80329979594,0.877192982456,-0.0228070175439,20.9844226837,21.6509591441,7,10.6450963474,13.8649529182,23.7027507782,,later_pooled
terminal,2018-07_to_2018-08,linear_quantile,Q1,0.5,4889b43655d15bbbace14b37c53c909e14b4e6418aa9edc51f7ff8072c2803dd,fitted_model,,5654,7,2.3693843594,2.05274941691,0.133635955365,0,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,601,2.05274941691,0.660565723794,0.160565723794,5.25534936417,5.70995772772,4,5.80532445923,6.18803971755,6.58078397489,2018-07-01,2018-07_to_2018-08
terminal,2018-07_to_2018-08,linear_quantile,Q2,0.5,ab957c44f22feac41fd1e67fdbe2bcabf687f6c40afd3d9df20adf21236167f7,fitted_model,,5654,7,2.3693843594,2.05274941691,0.134062650846,0.000492512914903,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,601,2.05173841131,0.662229617304,0.162229617304,5.35329767598,5.72201387396,4,5.80532445923,6.19768283778,6.66728746292,2018-07-01,2018-07_to_2018-08
terminal,2018-07_to_2018-08,linear_quantile,Q3,0.5,6a8df5bb75f92e8d9f0fa4f13e5e83dcde96e375941e4b1c65d3384450da3d4f,fitted_model,,5654,7,2.3693843594,2.05274941691,0.133027429803,-0.000702390138575,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,601,2.05419124785,0.657237936772,0.157237936772,5.25854373582,5.74613206815,4,5.80532445923,6.07939928874,6.64854491705,2018-07-01,2018-07_to_2018-08
terminal,2018-07_to_2018-08,linear_quantile,Q4,0.5,0f8a42d87675d94633e083a1bc74ee8893db52b30d5593995defd8408dc3e6a6,fitted_model,,5654,7,2.3693843594,2.05274941691,0.136931279751,0.00380362551617,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,601,2.04494152685,0.658901830283,0.158901830283,5.30100373789,5.71204630932,4,5.80532445923,6.13190215456,6.6440406972,2018-07-01,2018-07_to_2018-08
terminal,2018-07_to_2018-08,xgboost_quantile,Q1,0.5,346a957f4f6a74e52b6f2afe642de340fddfecd5f282f8402ec6ee7613facf42,fitted_model,,5654,7,2.3693843594,2.23274179941,0.0576700692096,0,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,601,2.23274179941,0.720465890183,0.220465890183,6.35104751587,6.53166226182,4,5.80532445923,6.68817447481,6.47060394287,2018-07-01,2018-07_to_2018-08
