period,cohort,family,model_id,probability_type,fitted_model_sha256,model_hash_type,constituent_fitted_model_count,n_orders,n_events,prevalence,log_loss,brier,average_precision,roc_auc,top_5pct_lift,top_10pct_lift,top_10pct_recall,calibration_intercept,calibration_slope,wace,calibration_invalid_reason,order_id_sha256,origin,calibration_method,n_train,cohort_month
aggregate,later_pooled,logistic_l2,M5,raw,3325e43a92b2981baa619049db95c9a98e56b8207696a35cadf69e60df97d545,composite_fitted_models,6,40270,3477,0.086342190216,0.294474340508,0.0786973714894,0.135888767657,0.652465705246,1.94372210174,1.91544434858,0.191544434858,-0.619302716364,0.592771580361,0.0319814008429,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,,,,later_pooled
aggregate,later_pooled,logistic_l2,M5,calibrated,3325e43a92b2981baa619049db95c9a98e56b8207696a35cadf69e60df97d545,composite_fitted_models,6,40270,3477,0.086342190216,0.294474340508,0.0786973714894,0.135888767657,0.652465705246,1.94372210174,1.91544434858,0.191544434858,-0.619302716364,0.592771580361,0.0319814008429,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,,,,later_pooled
aggregate,later_pooled,xgboost,M0,raw,c15a138a793830652d5ef425c3e4a58e87f7b2a87d40c5c50b12dc45ac2a6684,composite_fitted_models,6,40270,3477,0.086342190216,0.307000861556,0.0804055527975,0.0715204879322,0.421525459293,0.701580166902,0.790911705493,0.0790911705493,-6.72212104135,-1.54956248048,0.0513264995735,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,,,,later_pooled
aggregate,later_pooled,xgboost,M0,calibrated,c15a138a793830652d5ef425c3e4a58e87f7b2a87d40c5c50b12dc45ac2a6684,composite_fitted_models,6,40270,3477,0.086342190216,0.307000861556,0.0804055527975,0.0715204879322,0.421525459293,0.701580166902,0.790911705493,0.0790911705493,-6.72212104135,-1.54956248048,0.0513264995735,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,,,,later_pooled
aggregate,later_pooled,xgboost,M1,raw,3d9f731b74faf57d07899767efad93ca41288709cc96b38bb144653760c1e8f0,composite_fitted_models,6,40270,3477,0.086342190216,0.307765649472,0.0804179443025,0.0845442753038,0.444035938736,1.61593464672,1.20506183492,0.120506183492,-6.50278746856,-1.44642291354,0.0534773882605,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,,,,later_pooled
aggregate,later_pooled,xgboost,M1,calibrated,3d9f731b74faf57d07899767efad93ca41288709cc96b38bb144653760c1e8f0,composite_fitted_models,6,40270,3477,0.086342190216,0.307765649472,0.0804179443025,0.0845442753038,0.444035938736,1.61593464672,1.20506183492,0.120506183492,-6.50278746856,-1.44642291354,0.0534773882605,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,,,,later_pooled
aggregate,later_pooled,xgboost,M2,raw,2da72f7d132e41fdfe1207695a8eee445bded548b12dcb70b78f5b95228f1286,composite_fitted_models,6,40270,3477,0.086342190216,0.308338890752,0.0804756129662,0.0825186579994,0.432452294866,1.42041230512,1.1734253667,0.11734253667,-6.89367288131,-1.57946177744,0.055047151536,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,,,,later_pooled
aggregate,later_pooled,xgboost,M2,calibrated,2da72f7d132e41fdfe1207695a8eee445bded548b12dcb70b78f5b95228f1286,composite_fitted_models,6,40270,3477,0.086342190216,0.308338890752,0.0804756129662,0.0825186579994,0.432452294866,1.42041230512,1.1734253667,0.11734253667,-6.89367288131,-1.57946177744,0.055047151536,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,,,,later_pooled
aggregate,later_pooled,xgboost,M3,raw,7bb0beceb3a920da14c560a112a920b8fa2ee7bab7028357557e86a325e51a8c,composite_fitted_models,6,40270,3477,0.086342190216,0.305990775374,0.0802365584303,0.0837510417363,0.44864559954,1.36290573406,1.04400345125,0.104400345125,-5.03024957819,-0.945054867514,0.050214058259,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,,,,later_pooled
aggregate,later_pooled,xgboost,M3,calibrated,7bb0beceb3a920da14c560a112a920b8fa2ee7bab7028357557e86a325e51a8c,composite_fitted_models,6,40270,3477,0.086342190216,0.305990775374,0.0802365584303,0.0837510417363,0.44864559954,1.36290573406,1.04400345125,0.104400345125,-5.03024957819,-0.945054867514,0.050214058259,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,,,,later_pooled
aggregate,later_pooled,xgboost,M4,raw,39e581159b1f1834ad4b80dbf4fe27d42242ecd92d9b44ecadcc973475e68a74,composite_fitted_models,6,40270,3477,0.086342190216,0.304721601461,0.0801151941119,0.087056618015,0.464846150405,1.53542544724,1.25395455853,0.125395455853,-4.25767375918,-0.675627353557,0.0523575328235,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,,,,later_pooled
aggregate,later_pooled,xgboost,M4,calibrated,39e581159b1f1834ad4b80dbf4fe27d42242ecd92d9b44ecadcc973475e68a74,composite_fitted_models,6,40270,3477,0.086342190216,0.304721601461,0.0801151941119,0.087056618015,0.464846150405,1.53542544724,1.25395455853,0.125395455853,-4.25767375918,-0.675627353557,0.0523575328235,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,,,,later_pooled
aggregate,later_pooled,xgboost,M4E,raw,999e65aa4534ae3c24be95c6a622c9f99610602b168e665fe0e0a1dc8c2274e0,composite_fitted_models,6,40270,3477,0.086342190216,0.304365312474,0.0800807492204,0.0838595592677,0.470699592332,1.13863010694,1.15329306874,0.115329306874,-3.96457166325,-0.570688246642,0.0470643328845,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,,,,later_pooled
aggregate,later_pooled,xgboost,M4E,calibrated,999e65aa4534ae3c24be95c6a622c9f99610602b168e665fe0e0a1dc8c2274e0,composite_fitted_models,6,40270,3477,0.086342190216,0.304365312474,0.0800807492204,0.0838595592677,0.470699592332,1.13863010694,1.15329306874,0.115329306874,-3.96457166325,-0.570688246642,0.0470643328845,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,,,,later_pooled
