period,cohort,family,model_id,quantile,n_orders,empirical_coverage,coverage_error,median_prediction,mean_prediction,comparison,coverage_not_materially_worse,coverage_materially_worse,support_ge20_gain_present,gain_only_low_support,cohort_month
later,2018-03,linear_quantile,Q1,0.9,1328,0.867469879518,-0.0325301204819,19.6421203789,19.4965741987,Q1-unconditional,False,True,False,True,2018-03
later,2018-03,linear_quantile,Q2,0.9,1328,0.862951807229,-0.0370481927711,19.2081255382,18.9442596111,Q2-Q1,True,False,False,True,2018-03
later,2018-03,linear_quantile,Q3,0.9,1328,0.867469879518,-0.0325301204819,19.6421203789,19.4965741987,Q3-Q1,True,False,False,True,2018-03
later,2018-03,linear_quantile,Q4,0.9,1328,0.862198795181,-0.0378012048193,19.1263355707,18.8803885225,Q4-Q1,True,False,False,True,2018-03
later,2018-03,xgboost_quantile,Q1,0.9,1328,0.810240963855,-0.0897590361446,15.3065495491,15.8371527073,Q1-unconditional,False,True,False,True,2018-03
later,2018-03,xgboost_quantile,Q2,0.9,1328,0.849397590361,-0.0506024096386,17.98503685,18.494825677,Q2-Q1,True,False,True,False,2018-03
later,2018-03,xgboost_quantile,Q3,0.9,1328,0.841114457831,-0.0588855421687,17.365773201,17.8388857052,Q3-Q1,True,False,True,False,2018-03
later,2018-03,xgboost_quantile,Q4,0.9,1328,0.842620481928,-0.0573795180723,17.348777771,17.7867431296,Q4-Q1,True,False,True,False,2018-03
later,2018-04,linear_quantile,Q1,0.5,306,0.40522875817,-0.0947712418301,5.31262545152,5.37576262994,Q1-unconditional,False,True,False,True,2018-04
later,2018-04,linear_quantile,Q2,0.5,306,0.408496732026,-0.0915032679739,5.46556472147,5.47476058229,Q2-Q1,True,False,False,True,2018-04
later,2018-04,linear_quantile,Q3,0.5,306,0.40522875817,-0.0947712418301,5.31262545152,5.37576262994,Q3-Q1,True,False,True,False,2018-04
later,2018-04,linear_quantile,Q4,0.5,306,0.408496732026,-0.0915032679739,5.46556472147,5.47476058229,Q4-Q1,True,False,True,False,2018-04
later,2018-04,xgboost_quantile,Q1,0.5,306,0.450980392157,-0.0490196078431,5.98517346382,5.99393424022,Q1-unconditional,False,True,False,True,2018-04
