analysis,period,cohort,family,model_id,probability_type,comparison,quantile,n_orders,metric,estimate,interpretation,terminal_estimate,later_pooled_estimate,later_pooled_n_orders
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M1,calibrated,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_intercept,-1.14547377297,terminal_minus_january_june_pooled_calibration_shift,-1.88326864659,-0.737794873614,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M1,calibrated,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_slope,-0.00866726934097,terminal_minus_january_june_pooled_calibration_shift,0.48290770928,0.491574978621,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M1,calibrated,terminal_minus_later_pooled,,12507,terminal_minus_later_wace,0.00746252252648,terminal_minus_january_june_pooled_calibration_shift,0.0529792817316,0.0455167592051,40270
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M2,raw,,,12507,log_loss,0.206365625001,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M2,raw,,,12507,brier,0.0499568602866,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M2,raw,,,12507,average_precision,0.0767316721889,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M2,raw,,,12507,roc_auc,0.615015346224,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M2,raw,,,12507,wace,0.046323315017,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M2,raw,,,12507,calibration_intercept,-1.67150961764,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M2,raw,,,12507,calibration_slope,0.558226722151,terminal_stress_not_model_selection,,,
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M2,raw,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_intercept,-1.23176858619,terminal_minus_january_june_pooled_calibration_shift,-1.67150961764,-0.439741031448,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M2,raw,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_slope,-0.0307360364202,terminal_minus_january_june_pooled_calibration_shift,0.558226722151,0.588962758571,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M2,raw,terminal_minus_later_pooled,,12507,terminal_minus_later_wace,0.00244183991116,terminal_minus_january_june_pooled_calibration_shift,0.046323315017,0.0438814751059,40270
