period,cohort,family,quantile,ablation_id,representation,fitted_model_sha256,model_hash_type,reference_fitted_model_sha256,q1_reference_loss,skill_vs_q1,order_id_sha256,n_orders,pinball_loss,empirical_coverage,coverage_error,median_prediction,mean_prediction,median_actual,mean_actual,mean_exceedance,p90_absolute_error,cohort_month
later,2018-01,linear_quantile,0.5,combined_score_only,score_only,6c17bc9bb068579f1b0fad64b71a7d13d70bdea39c7b852eeb939c4ab935dcbf,fitted_model,c0da3bcb7095c6950e1c60cc0c3c1719729c1a409327f9f287e989249dadcc52,4.20886958079,0.000472208715376,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.2068821159,0.48635235732,-0.0136476426799,6.95165136753,6.83583510789,7,11.8808933002,13.1012208622,18.0535115353,2018-01
later,2018-01,linear_quantile,0.5,combined_metadata_only,metadata_only,9e6bcfcd712c478cee572104fe9b54818e59331c30cf9557120f5ac6549a8a59,fitted_model,c0da3bcb7095c6950e1c60cc0c3c1719729c1a409327f9f287e989249dadcc52,4.20886958079,-0.00127234218144,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.2142247031,0.454094292804,-0.045905707196,6.52163008649,6.41123360225,7,11.8808933002,12.729404475,18.5618104923,2018-01
later,2018-01,linear_quantile,0.5,combined_full,full,ee1698044b38a4d407a4703d976272455bce664b9514a1eba3d06c1653b4b4f4,fitted_model,c0da3bcb7095c6950e1c60cc0c3c1719729c1a409327f9f287e989249dadcc52,4.20886958079,0.00106983908639,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.20436676761,0.476426799007,-0.0235732009926,6.67173971377,6.61016890947,7,11.8808933002,13.0635581616,17.6781013242,2018-01
later,2018-01,xgboost_quantile,0.5,seller_score_only,score_only,6108a80e5522c69a94816fa4ad6a3a7469d1c1aa1b373d3385f24081459419af,fitted_model,424492806bc4ee35181eb92b23c94e343800ae50c42a658bbe1b22848f42a899,4.25124933169,-0.00169562392324,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.25845785176,0.399503722084,-0.100496277916,5.5343337059,5.56361995086,7,11.8808933002,12.3516078271,18.9709851265,2018-01
later,2018-01,xgboost_quantile,0.5,seller_metadata_only,metadata_only,e247697f7b32bd57517bf27337a80c7928fc4b5ceedf57d1cd9702b687d7766e,fitted_model,424492806bc4ee35181eb92b23c94e343800ae50c42a658bbe1b22848f42a899,4.25124933169,-0.00228050132669,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.26094431144,0.411910669975,-0.0880893300248,5.48623037338,5.51315152024,7,11.8808933002,12.6593271147,19.2816422462,2018-01
later,2018-01,xgboost_quantile,0.5,seller_full,full,fe70ed2ddaeaae815f153f618395f56643bfd1a9de9aa3b24b9aa0a661e2f4ef,fitted_model,424492806bc4ee35181eb92b23c94e343800ae50c42a658bbe1b22848f42a899,4.25124933169,-0.000731722075604,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.25436006468,0.401985111663,-0.0980148883375,5.50890731812,5.52508739561,7,11.8808933002,12.4282240492,19.3171111107,2018-01
later,2018-01,xgboost_quantile,0.5,seller_s1_score_only,score_only,179de435c96603b526f22b87ba4ed72eb1630342ad5e81560ead29eec362bc16,fitted_model,424492806bc4ee35181eb92b23c94e343800ae50c42a658bbe1b22848f42a899,4.25124933169,0.000564244931841,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.2488505858,0.411910669975,-0.0880893300248,5.56384468079,5.58053929634,7,11.8808933002,12.5814688518,19.3406604767,2018-01
later,2018-01,xgboost_quantile,0.5,seller_s2_score_only,score_only,bc01d5895dd05d0245887a95b06baf50bd9a1e2c7227e36fe64031fe145f85ac,fitted_model,424492806bc4ee35181eb92b23c94e343800ae50c42a658bbe1b22848f42a899,4.25124933169,-0.00247563204705,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.26177386078,0.409429280397,-0.090570719603,5.46789884567,5.51538744044,7,11.8808933002,12.6056483052,19.2178878784,2018-01
later,2018-01,xgboost_quantile,0.5,route_score_only,score_only,d3bdaa6373c619d2d0371911a75b543618e9c2ad803b3dad015ba74acd48dd8b,fitted_model,424492806bc4ee35181eb92b23c94e343800ae50c42a658bbe1b22848f42a899,4.25124933169,-0.00127705707439,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.25667841973,0.409429280397,-0.090570719603,5.62610149384,5.62332613711,7,11.8808933002,12.5056352375,18.7554209709,2018-01
later,2018-01,xgboost_quantile,0.5,route_metadata_only,metadata_only,69ef17809c293664fe9f16a9262e78b89cc0494194555e8262362070609e793d,fitted_model,424492806bc4ee35181eb92b23c94e343800ae50c42a658bbe1b22848f42a899,4.25124933169,-0.00754799792135,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.28333775281,0.39205955335,-0.10794044665,5.37617015839,5.38067440241,7,11.8808933002,12.3917519277,19.5089859009,2018-01
later,2018-01,xgboost_quantile,0.5,route_full,full,6b7fc9531afb7f3474df8994b0b7f9510675464370ff3f5734b71126914cb10b,fitted_model,424492806bc4ee35181eb92b23c94e343800ae50c42a658bbe1b22848f42a899,4.25124933169,0.000143104990581,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.2506409567,0.414392059553,-0.0856079404467,5.71145868301,5.68355872672,7,11.8808933002,12.5498780598,19.0158745766,2018-01
