period,cohort,family,model_id,quantile,n_orders,pinball_loss,skill_vs_unconditional,skill_vs_q1,order_id_sha256,comparison,pinball_skill,coverage_not_materially_worse,coverage_materially_worse,support_ge20_gain_present,gain_only_low_support,cohort_month
later,2018-02,linear_quantile,Q3,0.9,926,3.23603044956,0.0355131493473,-0.00025270382437,7d95c88138b22ba2667424325239c22950b3bf7d98924869363f5813ba7b7bad,Q3-Q1,-0.00025270382437,True,False,False,True,2018-02
later,2018-02,linear_quantile,Q4,0.9,926,3.265951322,0.0265953444993,-0.00950120566283,7d95c88138b22ba2667424325239c22950b3bf7d98924869363f5813ba7b7bad,Q4-Q1,-0.00950120566283,True,False,False,True,2018-02
later,2018-02,xgboost_quantile,Q1,0.9,926,3.28538154073,0.0208042400099,0,7d95c88138b22ba2667424325239c22950b3bf7d98924869363f5813ba7b7bad,Q1-unconditional,0.0208042400099,False,True,False,True,2018-02
later,2018-02,xgboost_quantile,Q2,0.9,926,3.29979907792,0.0165071466247,-0.00438839051478,7d95c88138b22ba2667424325239c22950b3bf7d98924869363f5813ba7b7bad,Q2-Q1,-0.00438839051478,True,False,True,False,2018-02
later,2018-02,xgboost_quantile,Q3,0.9,926,3.16595838858,0.0563978667408,0.0363498578989,7d95c88138b22ba2667424325239c22950b3bf7d98924869363f5813ba7b7bad,Q3-Q1,0.0363498578989,True,False,True,False,2018-02
later,2018-02,xgboost_quantile,Q4,0.9,926,3.29148749759,0.0189843822552,-0.0018585229115,7d95c88138b22ba2667424325239c22950b3bf7d98924869363f5813ba7b7bad,Q4-Q1,-0.0018585229115,True,False,True,False,2018-02
later,2018-03,linear_quantile,Q1,0.5,1328,3.16974752081,0.0121040348177,0,5092f5e7034c263ff007ff4a6fab61efb011668930b5964c9bdd412718e5736f,Q1-unconditional,0.0121040348177,False,True,False,True,2018-03
later,2018-03,linear_quantile,Q2,0.5,1328,3.18417630025,0.00760710473369,-0.00455202798925,5092f5e7034c263ff007ff4a6fab61efb011668930b5964c9bdd412718e5736f,Q2-Q1,-0.00455202798925,True,False,False,True,2018-03
later,2018-03,linear_quantile,Q3,0.5,1328,3.15110011279,0.0179157592613,0.0058829316532,5092f5e7034c263ff007ff4a6fab61efb011668930b5964c9bdd412718e5736f,Q3-Q1,0.0058829316532,True,False,True,False,2018-03
later,2018-03,linear_quantile,Q4,0.5,1328,3.15965669317,0.0152489818044,0.00318347993878,5092f5e7034c263ff007ff4a6fab61efb011668930b5964c9bdd412718e5736f,Q4-Q1,0.00318347993878,True,False,True,False,2018-03
later,2018-03,xgboost_quantile,Q1,0.5,1328,3.20974756975,-0.0003625375792,0,5092f5e7034c263ff007ff4a6fab61efb011668930b5964c9bdd412718e5736f,Q1-unconditional,-0.0003625375792,False,True,False,True,2018-03
later,2018-03,xgboost_quantile,Q2,0.5,1328,3.22583831272,-0.00537744174958,-0.00501308673805,5092f5e7034c263ff007ff4a6fab61efb011668930b5964c9bdd412718e5736f,Q2-Q1,-0.00501308673805,True,False,False,True,2018-03
later,2018-03,xgboost_quantile,Q3,0.5,1328,3.22735836384,-0.00585118685214,-0.00548666015245,5092f5e7034c263ff007ff4a6fab61efb011668930b5964c9bdd412718e5736f,Q3-Q1,-0.00548666015245,True,False,False,True,2018-03
later,2018-03,xgboost_quantile,Q4,0.5,1328,3.21255401944,-0.00123720671531,-0.000874352150602,5092f5e7034c263ff007ff4a6fab61efb011668930b5964c9bdd412718e5736f,Q4-Q1,-0.000874352150602,True,False,False,True,2018-03
later,2018-03,linear_quantile,Q1,0.9,1328,2.14235728099,-0.0108187554734,0,5092f5e7034c263ff007ff4a6fab61efb011668930b5964c9bdd412718e5736f,Q1-unconditional,-0.0108187554734,False,True,False,True,2018-03
later,2018-03,linear_quantile,Q2,0.9,1328,2.15923430298,-0.0187817645,-0.00787778123776,5092f5e7034c263ff007ff4a6fab61efb011668930b5964c9bdd412718e5736f,Q2-Q1,-0.00787778123776,True,False,False,True,2018-03
later,2018-03,linear_quantile,Q3,0.9,1328,2.14235728099,-0.0108187554734,0,5092f5e7034c263ff007ff4a6fab61efb011668930b5964c9bdd412718e5736f,Q3-Q1,0,True,False,False,True,2018-03
later,2018-03,linear_quantile,Q4,0.9,1328,2.16165040428,-0.0199217426557,-0.0090055582497,5092f5e7034c263ff007ff4a6fab61efb011668930b5964c9bdd412718e5736f,Q4-Q1,-0.0090055582497,True,False,False,True,2018-03
later,2018-03,xgboost_quantile,Q1,0.9,1328,2.35820706975,-0.112662185969,0,5092f5e7034c263ff007ff4a6fab61efb011668930b5964c9bdd412718e5736f,Q1-unconditional,-0.112662185969,False,True,False,True,2018-03
