period,cohort,cohort_month,origin,family,model_id,model_name,representation,probability_type,probability_variant,calibration_method,n_train,train_order_id_sha256,fitted_model_sha256,model_hash_type,n_orders,n_events,prevalence,log_loss,brier,average_precision,roc_auc,top_5pct_lift,top_10pct_lift,top_10pct_recall,calibration_intercept,calibration_slope,wace,calibration_invalid_reason,order_id_sha256,model_family,specification,n_obs,brier_score,top10_lift,comparison,reference_model,reference_specification,representation_evidence,later_month_count,primary_evidence_available,median_delta_log_loss,median_delta_brier,both_improved_month_count,high_support_guard_available,high_support_median_delta_log_loss,high_support_median_delta_brier,high_support_material_reversal,high_support_no_material_reversal,calibration_guard_available,median_delta_wace,median_delta_absolute_calibration_slope_error,calibration_not_systematically_worse,calibration_systematically_worse,score_guard_available,score_only_median_delta_log_loss,full_beats_metadata_log_loss,full_no_metadata_brier_worsening,score_contributes,benefit_not_metadata_only,all_guards_available,all_guards_pass,evidence_status,evidence_label,evidence_reason,delta_log_loss,delta_brier,delta_brier_score,delta_average_precision,delta_roc_auc,delta_top_10pct_lift,delta_top10_lift,delta_calibration_intercept,delta_calibration_slope,delta_log_loss_lower,delta_log_loss_upper,delta_brier_lower,delta_brier_upper
later,2018-01,2018-01,2018-01-01,random_forest,DPB,Promise + both profile blocks,full,calibrated,calibrated,none,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,3fbd30309f2b094da55dc5f61072afd013c4acc294f71aed3e7c83ec7d401639,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.214358300285,0.0529812820375,0.105514821125,0.664130743099,2.67573705682,2.1585035852,0.2158808933,-0.808185677419,0.613622309204,0.0150293102694,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,random_forest,DPB,7069,0.0529812820375,2.1585035852,DPB-DP0,DP0,DP0,full,6,True,-0.00761967829778,5.80000102071e-05,3,True,-0.00518208294536,0.000447151509348,False,True,True,0.00534103213212,-8.50749596363,False,True,True,-0.0562746959884,True,True,True,True,True,False,Not-supported,Not-supported,nonimproving_median_or_at_most_two_both_improved_months,-0.00898396871505,-0.0011669103895,-0.0011669103895,0.0449134231917,0.139614085478,1.06684659958,1.06684659958,-17.1723957407,-5.28115543722,-0.0182970430445,-0.00132731952386,-0.00251902662903,-7.02397136072e-05
later,2018-01,2018-01,2018-01-01,random_forest,DPB,Promise + both profile blocks,full,raw,raw,none,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,3fbd30309f2b094da55dc5f61072afd013c4acc294f71aed3e7c83ec7d401639,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.214358300285,0.0529812820375,0.105514821125,0.664130743099,2.67573705682,2.1585035852,0.2158808933,-0.808185677419,0.613622309204,0.0150293102694,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,random_forest,DPB,7069,0.0529812820375,2.1585035852,DPB-DP0,DP0,DP0,full,6,True,-0.00761967829778,5.80000102071e-05,3,True,-0.00518208294536,0.000447151509348,False,True,True,0.00534103213212,-8.50749596363,False,True,True,-0.0562746959884,True,True,True,True,True,False,Not-supported,Not-supported,nonimproving_median_or_at_most_two_both_improved_months,-0.00898396871505,-0.0011669103895,-0.0011669103895,0.0449134231917,0.139614085478,1.06684659958,1.06684659958,-17.1723957407,-5.28115543722,-0.0182970430445,-0.00132731952386,-0.00251902662903,-7.02397136072e-05
later,2018-01,2018-01,2018-01-01,random_forest,DPG,Promise + geographic profiles,full,calibrated,calibrated,platt,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,f8924da325a349434e52c98876cbd6c67bfb9c31fb23cc9c153cf447342baf84,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.215781288358,0.0535005432163,0.0975115995172,0.652035364827,2.27933156692,2.23293474331,0.223325062035,2.19369942301,1.5877733945,0.0181882279456,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,random_forest,DPG,7069,0.0535005432163,2.23293474331,DPG-DP0,DP0,DP0,full,6,True,-0.0110668832408,-0.00105165332621,5,True,-0.0104286141287,-0.000999966712794,False,True,True,-0.00195513110765,-8.56486680715,True,False,True,-0.0551472055044,True,True,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass,-0.00756098064244,-0.000647649210699,-0.000647649210699,0.0369102015837,0.127518707206,1.14127775769,1.14127775769,-14.1705106403,-4.30700435192,-0.0127349177013,-0.00287219485431,-0.00112003668391,-0.00022883707242
later,2018-01,2018-01,2018-01-01,random_forest,DPG,Promise + geographic profiles,full,raw,raw,none,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,f8924da325a349434e52c98876cbd6c67bfb9c31fb23cc9c153cf447342baf84,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.23001205869,0.0535330784214,0.0975115995172,0.652035364827,2.27933156692,2.23293474331,0.223325062035,-1.42262481406,0.369939505887,0.0214792776172,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,random_forest,DPG,7069,0.0535330784214,2.23293474331,DPG-DP0,DP0,DP0,full,6,True,-0.0110668832408,-0.00105165332621,5,True,-0.0104286141287,-0.000999966712794,False,True,True,-0.00195513110765,-8.56486680715,True,False,True,-0.0551472055044,True,True,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass,-0.00756098064244,-0.000647649210699,-0.000647649210699,0.0369102015837,0.127518707206,1.14127775769,1.14127775769,-14.1705106403,-4.30700435192,-0.0127349177013,-0.00287219485431,-0.00112003668391,-0.00022883707242
later,2018-01,2018-01,2018-01-01,random_forest,DPS,Promise + seller profiles,full,calibrated,calibrated,none,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,f9d7581aa7428519520404b0181cc80af76c4e2894265ce33422b2469c784ef1,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.226642238971,0.0542959823522,0.0645013263821,0.533645424096,0.991013724748,0.967605055436,0.0967741935484,-2.13933571985,0.204426667846,0.0236217740029,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,random_forest,DPS,7069,0.0542959823522,0.967605055436,DPS-DP0,DP0,DP0,full,6,True,0.00193643020825,0.000363597265665,2,True,0.00279488490392,0.00067073538573,True,False,True,0.00251409493846,-8.07063120161,True,False,True,-0.0428921492894,True,True,True,True,True,False,Not-supported,Not-supported,nonimproving_median_or_at_most_two_both_improved_months,0.00329996997116,0.000147789925279,0.000147789925279,0.00389992844867,0.00912876647466,-0.124051930184,-0.124051930184,-18.5035457831,-5.69035107857,0.00198200657076,0.0044505768497,-5.42753823203e-05,0.000310670877113
later,2018-01,2018-01,2018-01-01,random_forest,DPS,Promise + seller profiles,full,raw,raw,none,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,f9d7581aa7428519520404b0181cc80af76c4e2894265ce33422b2469c784ef1,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.226642238971,0.0542959823522,0.0645013263821,0.533645424096,0.991013724748,0.967605055436,0.0967741935484,-2.13933571985,0.204426667846,0.0236217740029,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,random_forest,DPS,7069,0.0542959823522,0.967605055436,DPS-DP0,DP0,DP0,full,6,True,0.00193643020825,0.000363597265665,2,True,0.00279488490392,0.00067073538573,True,False,True,0.00251409493846,-8.07063120161,True,False,True,-0.0428921492894,True,True,True,True,True,False,Not-supported,Not-supported,nonimproving_median_or_at_most_two_both_improved_months,0.00329996997116,0.000147789925279,0.000147789925279,0.00389992844867,0.00912876647466,-0.124051930184,-0.124051930184,-18.5035457831,-5.69035107857,0.00198200657076,0.0044505768497,-5.42753823203e-05,0.000310670877113
later,2018-01,2018-01,2018-01-01,xgboost,DP0,Direct promise baseline,full,calibrated,calibrated,none,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,bd2590b6d8f4b87eb5104ed856babb8a2983cfde7a82547f93bd4f7a059f1ab1,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.220713443132,0.0539458226024,0.0579271016991,0.493400828917,1.33786852841,1.19089852977,0.119106699752,-5.67757799446,-0.92896485249,0.0167570765095,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,xgboost,DP0,7069,0.0539458226024,1.19089852977,DP0_reference,,,,,,,,,,,,,,,,,,,,,,,,,,,Reference,Reference,,,,,,,,,,,,,,
later,2018-01,2018-01,2018-01-01,xgboost,DP0,Direct promise baseline,full,raw,raw,none,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,bd2590b6d8f4b87eb5104ed856babb8a2983cfde7a82547f93bd4f7a059f1ab1,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.220713443132,0.0539458226024,0.0579271016991,0.493400828917,1.33786852841,1.19089852977,0.119106699752,-5.67757799446,-0.92896485249,0.0167570765095,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,xgboost,DP0,7069,0.0539458226024,1.19089852977,DP0_reference,,,,,,,,,,,,,,,,,,,,,,,,,,,Reference,Reference,,,,,,,,,,,,,,
later,2018-01,2018-01,2018-01-01,xgboost,DPB,Promise + both profile blocks,full,calibrated,calibrated,none,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,86a7f8d92ace33260a342f47ed7afdd68157dc28f60ecaec98f3704f9f5111e6,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.218902384478,0.0537913581582,0.0923863549809,0.657978452932,1.88292607702,1.8855893388,0.18858560794,8.7723210517,3.78412242688,0.0249893733385,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,xgboost,DPB,7069,0.0537913581582,1.8855893388,DPB-DP0,DP0,DP0,full,6,True,-0.00229967244447,-0.000293696109202,5,True,-0.0021127497292,-0.000266410356161,False,True,True,0.00431574578376,2.43431455748,False,True,True,-0.00345421615059,True,True,True,True,True,False,Mixed,Mixed,required_guard_unavailable_or_failed,-0.00181105865422,-0.00015446444412,-0.00015446444412,0.0344592532819,0.164577624016,0.694690809031,0.694690809031,14.4498990462,4.71308727937,-0.00287548055639,-0.000851730389971,-0.000248287154102,-7.06340024076e-05
later,2018-01,2018-01,2018-01-01,xgboost,DPB,Promise + both profile blocks,full,raw,raw,none,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,86a7f8d92ace33260a342f47ed7afdd68157dc28f60ecaec98f3704f9f5111e6,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.218902384478,0.0537913581582,0.0923863549809,0.657978452932,1.88292607702,1.8855893388,0.18858560794,8.7723210517,3.78412242688,0.0249893733385,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,xgboost,DPB,7069,0.0537913581582,1.8855893388,DPB-DP0,DP0,DP0,full,6,True,-0.00229967244447,-0.000293696109202,5,True,-0.0021127497292,-0.000266410356161,False,True,True,0.00431574578376,2.43431455748,False,True,True,-0.00345421615059,True,True,True,True,True,False,Mixed,Mixed,required_guard_unavailable_or_failed,-0.00181105865422,-0.00015446444412,-0.00015446444412,0.0344592532819,0.164577624016,0.694690809031,0.694690809031,14.4498990462,4.71308727937,-0.00287548055639,-0.000851730389971,-0.000248287154102,-7.06340024076e-05
