row_type,family,family_display,family_status,source_role,quantile,comparison,profile_block,model_id,median_pinball_loss,mean_pinball_loss,sd_pinball_loss,median_empirical_coverage,median_absolute_coverage_error,pooled_pinball_loss,pooled_empirical_coverage,later_month_count,evidence_label,median_skill,mean_skill,sd_skill,favourable_month_count,pooled_skill,high_support_guard_available,support_ge20_gain_present,coverage_guard_available,coverage_not_materially_worse,all_guards_pass,evidence_reason,label_type
profile_increment,lognormal_ridge,Lognormal Ridge,evaluated,subsequent_model_family_robustness,0.9,DQS-DQ0,seller,DQS,3.02214844262,2.97470006007,0.779350744018,0.880896826744,0.0395141909774,2.71718902587,0.881219442048,6,Not-supported,-0.00290758792723,-0.00213885572518,0.00487813461596,2,-0.00127942477897,True,False,True,True,False,nonpositive_median_skill_or_fewer_than_four_favourable_months,ROBUSTNESS EVIDENCE LABEL
baseline_absolute,random_forest_leaf_weighted_quantile,Leaf-weighted Quantile Random Forest,evaluated,subsequent_model_family_robustness,0.5,DQ0_reference,none,DQ0,4.00105418511,3.78455353954,0.948547012368,0.462388636432,0.0479912608179,3.60396893874,0.472821397757,6,Reference,,,,,,,,,,,,
baseline_absolute,random_forest_leaf_weighted_quantile,Leaf-weighted Quantile Random Forest,evaluated,subsequent_model_family_robustness,0.9,DQ0_reference,none,DQ0,3.34973637403,3.24796740565,0.86691416181,0.838896187094,0.0611038129065,2.97172850158,0.857635893011,6,Reference,,,,,,,,,,,,
profile_increment,random_forest_leaf_weighted_quantile,Leaf-weighted Quantile Random Forest,evaluated,subsequent_model_family_robustness,0.5,DQB-DQ0,both,DQB,3.94110957038,3.76347702415,0.918734752536,0.434048557388,0.0730461198564,3.58743169399,0.455277538108,6,Supported,0.00714874448574,0.00339219542214,0.0147096211519,4,0.00458862022185,True,True,True,True,True,positive_median_four_months_support_and_coverage_guards_pass,ROBUSTNESS EVIDENCE LABEL
profile_increment,random_forest_leaf_weighted_quantile,Leaf-weighted Quantile Random Forest,evaluated,subsequent_model_family_robustness,0.9,DQB-DQ0,both,DQB,3.09996117958,3.16156166439,0.965625412851,0.830137451213,0.0757479413728,2.82597066437,0.845556514236,6,Supported,0.0482986236869,0.0332293048717,0.055717181098,5,0.0490481674683,True,True,True,True,True,positive_median_four_months_support_and_coverage_guards_pass,ROBUSTNESS EVIDENCE LABEL
profile_increment,random_forest_leaf_weighted_quantile,Leaf-weighted Quantile Random Forest,evaluated,subsequent_model_family_robustness,0.5,DQG-DQ0,state_od,DQG,3.99146110057,3.80170326789,0.92485702739,0.419681829053,0.0964593668793,3.62539545585,0.443773367846,6,Not-supported,-0.00395175137805,-0.00666331190615,0.0118977771324,2,-0.0059452557657,True,False,True,True,False,nonpositive_median_skill_or_fewer_than_four_favourable_months,ROBUSTNESS EVIDENCE LABEL
profile_increment,random_forest_leaf_weighted_quantile,Leaf-weighted Quantile Random Forest,evaluated,subsequent_model_family_robustness,0.9,DQG-DQ0,state_od,DQG,3.24076320953,3.20556354616,0.880323076498,0.80853588051,0.0914641194902,2.90598216854,0.830601092896,6,Not-supported,0.0115657390639,0.0142158074951,0.0326702558823,4,0.0221239366284,True,False,True,False,False,gain_confined_to_lower_support_orders,ROBUSTNESS EVIDENCE LABEL
profile_increment,random_forest_leaf_weighted_quantile,Leaf-weighted Quantile Random Forest,evaluated,subsequent_model_family_robustness,0.5,DQS-DQ0,seller,DQS,3.89286032858,3.71944565165,0.941820490514,0.436942153061,0.0670564717106,3.55205637043,0.461029623238,6,Supported,0.0154878362616,0.0176080728622,0.0095299860239,6,0.0144042773921,True,True,True,True,True,positive_median_four_months_support_and_coverage_guards_pass,ROBUSTNESS EVIDENCE LABEL
profile_increment,random_forest_leaf_weighted_quantile,Leaf-weighted Quantile Random Forest,evaluated,subsequent_model_family_robustness,0.9,DQS-DQ0,seller,DQS,3.12473849151,3.03805546718,0.860113458054,0.85176746755,0.0675770196802,2.77348288755,0.864538395168,6,Supported,0.0627893466798,0.0676942844709,0.0298534415654,6,0.0667105403234,True,True,True,True,True,positive_median_four_months_support_and_coverage_guards_pass,ROBUSTNESS EVIDENCE LABEL
baseline_absolute,xgboost_quantile,XGBoost Quantile Regression,evaluated,protected_pre_existing_direct_extension,0.5,DQ0_reference,none,DQ0,3.94379671251,3.76663499808,0.931352952893,0.444247578549,0.085152022482,3.59610223756,0.444348576359,6,Reference,,,,,,,,,,,,
baseline_absolute,xgboost_quantile,XGBoost Quantile Regression,evaluated,protected_pre_existing_direct_extension,0.9,DQ0_reference,none,DQ0,3.08240015488,3.0558065763,0.874063985041,0.85856307966,0.0671204331822,2.75411993169,0.873741731378,6,Reference,,,,,,,,,,,,
profile_increment,xgboost_quantile,XGBoost Quantile Regression,evaluated,protected_pre_existing_direct_extension,0.5,DQB-DQ0,both,DQB,3.94406361304,3.76744723031,0.929938447131,0.438454522315,0.0883864241083,3.59658756831,0.443773367846,6,Not-supported,-0.000152139854368,-0.0003437841347,0.000793613377744,2,-0.000134960218281,True,False,True,True,False,nonpositive_median_skill_or_fewer_than_four_favourable_months,PROTECTED PRE-EXISTING DIRECT-EXTENSION LABEL
profile_increment,xgboost_quantile,XGBoost Quantile Regression,evaluated,protected_pre_existing_direct_extension,0.9,DQB-DQ0,both,DQB,3.08572622261,3.07704635359,0.896181224662,0.856943209249,0.0695605751088,2.76193124049,0.870578084556,6,Not-supported,-0.00411813543947,-0.00576161532535,0.00692419756154,2,-0.00283622681374,True,False,True,True,False,nonpositive_median_skill_or_fewer_than_four_favourable_months,PROTECTED PRE-EXISTING DIRECT-EXTENSION LABEL
profile_increment,xgboost_quantile,XGBoost Quantile Regression,evaluated,protected_pre_existing_direct_extension,0.5,DQG-DQ0,state_od,DQG,3.94316058717,3.76652451409,0.931157946634,0.43619548617,0.0906454602529,3.59567082995,0.442335346563,6,Not-supported,1.90782815425e-05,6.81778934212e-06,0.000316203018214,3,0.000119965337629,True,False,True,True,False,nonpositive_median_skill_or_fewer_than_four_favourable_months,PROTECTED PRE-EXISTING DIRECT-EXTENSION LABEL
profile_increment,xgboost_quantile,XGBoost Quantile Regression,evaluated,protected_pre_existing_direct_extension,0.9,DQG-DQ0,state_od,DQG,3.06609364845,3.06553715798,0.889588649349,0.86018295007,0.0674495024597,2.74974616547,0.872878918608,6,Not-supported,-0.00201792974276,-0.002380021172,0.00832430988096,2,0.00158808124833,True,False,True,True,False,nonpositive_median_skill_or_fewer_than_four_favourable_months,PROTECTED PRE-EXISTING DIRECT-EXTENSION LABEL
profile_increment,xgboost_quantile,XGBoost Quantile Regression,evaluated,protected_pre_existing_direct_extension,0.5,DQS-DQ0,seller,DQS,3.94461946359,3.76682854678,0.931435934117,0.440978703547,0.0964912566031,3.5964495208,0.436870865689,6,Not-supported,7.76680377993e-05,-4.68282804304e-05,0.000343841587378,4,-9.65721240587e-05,True,False,True,True,False,gain_confined_to_lower_support_orders,PROTECTED PRE-EXISTING DIRECT-EXTENSION LABEL
profile_increment,xgboost_quantile,XGBoost Quantile Regression,evaluated,protected_pre_existing_direct_extension,0.9,DQS-DQ0,seller,DQS,3.09005095135,3.07310069165,0.887667456214,0.855628499915,0.0687056878517,2.76777674385,0.867989646247,6,Not-supported,-0.00466230145562,-0.00503166286041,0.00457575692073,0,-0.00495868462372,True,False,True,True,False,nonpositive_median_skill_or_fewer_than_four_favourable_months,PROTECTED PRE-EXISTING DIRECT-EXTENSION LABEL
