period,cohort,cohort_month,family,model_family,comparison,candidate_model,candidate_specification,reference_model,reference_specification,representation,probability_type,probability_variant,n_orders,n_obs,n_events,order_id_sha256,paired_order_id_sha256,delta_log_loss,delta_brier,delta_brier_score,delta_average_precision,delta_roc_auc,delta_top_10pct_lift,delta_top10_lift,delta_calibration_intercept,delta_calibration_slope,is_pooled,replicates,valid_replicates,n_blocks,delta_log_loss_lower,delta_log_loss_upper,delta_brier_lower,delta_brier_upper,invalid_reason,task,model_family_evidence,candidate_specification_evidence,reference_specification_evidence,representation_evidence,later_month_count,primary_evidence_available,median_delta_log_loss,median_delta_brier,both_improved_month_count,high_support_guard_available,high_support_median_delta_log_loss,high_support_median_delta_brier,high_support_material_reversal,high_support_no_material_reversal,calibration_guard_available,median_delta_wace,median_delta_absolute_calibration_slope_error,calibration_not_systematically_worse,calibration_systematically_worse,score_guard_available,score_only_median_delta_log_loss,full_beats_metadata_log_loss,full_no_metadata_brier_worsening,score_contributes,benefit_not_metadata_only,all_guards_available,all_guards_pass,evidence_status,evidence_label,evidence_reason
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPB-DP0,DPB,DPB,DP0,DP0,full,calibrated,calibrated,40270,40270,3477,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,-0.0388196570165,-0.00558325051821,-0.00558325051821,0.118230377936,0.328376734702,1.65947656025,1.65947656025,5.15875685832,1.96029958351,True,500,500,26,-0.06417883973,-0.0201110844611,-0.0103800861977,-0.00200783215759,,breach,logistic_l2,DPB,DP0,full,6,True,-0.0188355042404,-0.00146902299902,5,True,-0.0178964373712,-0.00140057680524,False,True,True,-0.0166763314017,-3.63404763384,True,False,True,-0.0194931043395,True,False,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPG-DP0,DPG,DPG,DP0,DP0,full,calibrated,calibrated,40270,40270,3477,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,-0.0319350451486,-0.00411197316072,-0.00411197316072,0.0916703130924,0.304800568652,1.18205349439,1.18205349439,4.9693991385,1.87509516896,True,500,500,26,-0.0522653258875,-0.0121152907308,-0.00770048545408,-0.000630756099178,,breach,logistic_l2,DPG,DP0,full,6,True,-0.0126256584508,-0.000678203167734,3,True,-0.0125311675792,-0.000651481391294,False,True,True,-0.0113356271504,-3.47809936608,True,False,True,-0.0132700613425,True,False,True,True,True,True,Mixed,Mixed,exactly_three_both_improved_months
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPS-DP0,DPS,DPS,DP0,DP0,full,calibrated,calibrated,40270,40270,3477,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,-0.00417724557345,-0.000555753603763,-0.000555753603763,0.0183747776247,0.0945499481936,0.123669830313,0.123669830313,3.02138637478,1.07108852294,True,500,500,26,-0.00603131082504,-0.00233799551683,-0.000832776698363,-0.000303996811509,,breach,logistic_l2,DPS,DP0,full,6,True,-0.00415653020117,-0.00047411302235,6,True,-0.00388823165404,-0.000390794822282,False,True,True,-0.00754606386358,-3.46107307636,True,False,True,-0.00375374505547,True,True,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass
aggregate,later_pooled,later_pooled,random_forest,random_forest,DPB-DP0,DPB,DPB,DP0,DP0,full,calibrated,calibrated,40270,40270,3477,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,-0.0181966326597,-0.0024517019013,-0.0024517019013,0.0406928071485,0.0960061826668,0.960598216854,0.960598216854,-2.67217902392,-0.766869322571,True,500,500,26,-0.0352377074578,-0.00139813419025,-0.00519978045255,0.000347509858714,,breach,random_forest,DPB,DP0,full,6,True,-0.00761967829778,5.80000102071e-05,3,True,-0.00518208294536,0.000447151509348,False,True,True,0.00534103213212,-8.50749596363,False,True,True,-0.0562746959884,True,True,True,True,True,False,Not-supported,Not-supported,nonimproving_median_or_at_most_two_both_improved_months
aggregate,later_pooled,later_pooled,random_forest,random_forest,DPG-DP0,DPG,DPG,DP0,DP0,full,calibrated,calibrated,40270,40270,3477,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,-0.0141084284625,-0.0013182007882,-0.0013182007882,0.0352197193502,0.0577189099842,0.954846131723,0.954846131723,-0.973471325485,-0.224906898122,True,500,500,26,-0.0216723427846,-0.00688106464371,-0.00202659518356,-0.000647916151355,,breach,random_forest,DPG,DP0,full,6,True,-0.0110668832408,-0.00105165332621,5,True,-0.0104286141287,-0.000999966712794,False,True,True,-0.00195513110765,-8.56486680715,True,False,True,-0.0551472055044,True,True,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass
aggregate,later_pooled,later_pooled,random_forest,random_forest,DPS-DP0,DPS,DPS,DP0,DP0,full,calibrated,calibrated,40270,40270,3477,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,-0.000917677591155,-0.000229630844316,-0.000229630844316,-0.00181892439675,-0.0183872827969,0.0143802128271,0.0143802128271,-3.8638751499,-1.18807091403,True,500,500,26,-0.007096546737,0.00510702588493,-0.00118318069469,0.000679530507824,,breach,random_forest,DPS,DP0,full,6,True,0.00193643020825,0.000363597265665,2,True,0.00279488490392,0.00067073538573,True,False,True,0.00251409493846,-8.07063120161,True,False,True,-0.0428921492894,True,True,True,True,True,False,Not-supported,Not-supported,nonimproving_median_or_at_most_two_both_improved_months
aggregate,later_pooled,later_pooled,xgboost,xgboost,DPB-DP0,DPB,DPB,DP0,DP0,full,calibrated,calibrated,40270,40270,3477,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,-0.00264201929194,-0.000293070443649,-0.000293070443649,0.008569781964,0.0265565631619,0.0834052343975,0.0834052343975,2.32257040157,0.81309625799,True,500,500,26,-0.00409883273241,-0.00136321460318,-0.000462650853345,-0.000151374321176,,breach,xgboost,DPB,DP0,full,6,True,-0.00229967244447,-0.000293696109202,5,True,-0.0021127497292,-0.000266410356161,False,True,True,0.00431574578376,2.43431455748,False,True,True,-0.00345421615059,True,True,True,True,True,False,Mixed,Mixed,required_guard_unavailable_or_failed
aggregate,later_pooled,later_pooled,xgboost,xgboost,DPG-DP0,DPG,DPG,DP0,DP0,full,calibrated,calibrated,40270,40270,3477,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,-0.00208358168925,-0.000234990501204,-0.000234990501204,0.00817575625456,0.0213229325228,0.209951107276,0.209951107276,2.15381084979,0.75688944853,True,500,500,26,-0.00301524581808,-0.00128256206664,-0.000341513491146,-0.000134419986147,,breach,xgboost,DPG,DP0,full,6,True,-0.00197620878246,-0.00026123594082,5,True,-0.00209210496204,-0.000278590971538,False,True,True,0.00361843907148,0.978250023739,False,True,True,-0.00240607535493,False,False,True,True,True,False,Mixed,Mixed,required_guard_unavailable_or_failed
aggregate,later_pooled,later_pooled,xgboost,xgboost,DPS-DP0,DPS,DPS,DP0,DP0,full,calibrated,calibrated,40270,40270,3477,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,-0.000249267081702,-2.50604254213e-05,-2.50604254213e-05,-0.0056818583266,-0.011808654941,-0.189818809318,-0.189818809318,0.0596046204128,0.0187510740453,True,500,500,26,-0.0005944880424,5.34926038726e-05,-6.40502803776e-05,8.66950236262e-06,,breach,xgboost,DPS,DP0,full,6,True,-0.000144657998041,-1.96016143433e-05,5,True,-9.00338311444e-05,-1.56794437653e-05,False,True,True,-0.000743503690553,-2.55850693217,True,False,True,-0.000359882171151,True,False,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass
later,2018-01,2018-01,logistic_l2,logistic_l2,DPB-DP0,DPB,DPB,DP0,DP0,full,calibrated,calibrated,7069,7069,403,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,-0.0169258858061,-0.00200646029347,-0.00200646029347,0.0779089546368,0.212912234151,1.86077895276,1.86077895276,3.42558199704,1.15784758981,False,500,500,5,-0.0296407761423,-0.00526181579418,-0.00373634058418,-0.000458363922129,,breach,logistic_l2,DPB,DP0,full,6,True,-0.0188355042404,-0.00146902299902,5,True,-0.0178964373712,-0.00140057680524,False,True,True,-0.0166763314017,-3.63404763384,True,False,True,-0.0194931043395,True,False,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass
