profile_code,candidate_id,base_candidate_id,target,target_kind,period,horizon_days,metric,favourable_direction,selected_90d_value,all_mature_value,all_mature_minus_90d,scheduled_anchor_count,paired_nonmissing_count,favourable_anchor_count,aggregate_median_difference,all_mature_minus_90d_aggregation,aggregate_median_difference_aggregation,practical_equivalence_assessment,delta_x1000,direction,period_label,profile_label,value_label
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,7,log_mae,lower_is_favourable,0.480181124924,0.472956987284,0.00164681486019,25,25,12,-0.00722413764071,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,outside_frozen_tolerances_numeric_only,1.6468148601900001,90-day better,Jan-Jun later outcomes,State-OD level,+1.65
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,7,log_mae,lower_is_favourable,0.399603623173,0.398433330155,9.1562259344e-5,39,39,19,-0.001170293018,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,within_frozen_tolerances_descriptive_only,0.091562259344,90-day better,Development,State-OD level,+0.09
R2,transit_tail|state_od|A|w90|l0|P1|parent=global|kappa=10|min_support=5,transit_tail|state_od|A|w90|l0|P1|parent=global|kappa=10,transit_tail,binary,confirmation,7,log_loss,lower_is_favourable,0.437652169955,0.457424996268,0.0164448239991,25,25,11,0.0197728263132,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,outside_frozen_tolerances_numeric_only,16.444823999100002,90-day better,Jan-Jun later outcomes,State-OD tail risk,+16.44
R2,transit_tail|state_od|A|w90|l0|P1|parent=global|kappa=10|min_support=5,transit_tail|state_od|A|w90|l0|P1|parent=global|kappa=10,transit_tail,binary,development,7,log_loss,lower_is_favourable,0.328356404911,0.324800960636,-0.00355544427498,39,39,33,-0.00355544427498,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,outside_frozen_tolerances_numeric_only,-3.55544427498,Cumulative history better,Development,State-OD tail risk,-3.56
S1,handling_level|seller_id|C|w90|l14|P1|parent=global|kappa=na|min_support=5,handling_level|seller_id|C|w90|l14|P1|parent=global|kappa=na,handling_level,continuous,confirmation,7,log_mae,lower_is_favourable,0.427348771369,0.432005766727,0.00536936451751,25,25,5,0.00465699535818,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,outside_frozen_tolerances_numeric_only,5.36936451751,90-day better,Jan-Jun later outcomes,Seller level,+5.37
S1,handling_level|seller_id|C|w90|l14|P1|parent=global|kappa=na|min_support=5,handling_level|seller_id|C|w90|l14|P1|parent=global|kappa=na,handling_level,continuous,development,7,log_mae,lower_is_favourable,0.432803250789,0.43546329339,0.00313027889685,39,39,7,0.0026600426014,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,within_frozen_tolerances_descriptive_only,3.1302788968499997,90-day better,Development,Seller level,+3.13
S2,handling_tail|seller_id|A|w90|l0|P1|parent=global|kappa=10|min_support=5,handling_tail|seller_id|A|w90|l0|P1|parent=global|kappa=10,handling_tail,binary,confirmation,7,log_loss,lower_is_favourable,0.147081031996,0.146945453599,7.26897135575e-4,25,25,12,-1.35578396793e-4,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,within_frozen_tolerances_descriptive_only,0.726897135575,90-day better,Jan-Jun later outcomes,Seller tail risk,+0.73
S2,handling_tail|seller_id|A|w90|l0|P1|parent=global|kappa=10|min_support=5,handling_tail|seller_id|A|w90|l0|P1|parent=global|kappa=10,handling_tail,binary,development,7,log_loss,lower_is_favourable,0.192843587299,0.198216187442,8.68465379635e-4,39,39,16,0.00537260014314,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,outside_frozen_tolerances_numeric_only,0.868465379635,90-day better,Development,Seller tail risk,+0.87
