snapshot_date,target,purchase_age_days,all_placed_orders,available_asof_orders,unconditional_availability_asof
2018-08-30,transit,8,187,146,0.7807486631016043
2018-08-30,transit,9,243,214,0.8806584362139918
2018-08-30,transit,10,256,232,0.90625
2018-08-30,transit,11,204,186,0.9117647058823529
2018-08-30,transit,12,198,182,0.9191919191919192
2018-08-30,transit,13,257,237,0.9221789883268483
2018-08-30,transit,14,320,308,0.9625
2018-08-30,transit,15,288,273,0.9479166666666666
2018-08-30,transit,16,316,298,0.9430379746835443
2018-08-30,transit,17,292,278,0.952054794520548
2018-08-30,transit,18,197,187,0.949238578680203
2018-08-30,transit,19,188,183,0.973404255319149
2018-08-30,transit,20,256,237,0.92578125
2018-08-30,transit,21,289,277,0.9584775086505191
2018-08-30,transit,22,316,304,0.9620253164556962
2018-08-30,transit,23,370,351,0.9486486486486486
2018-08-30,transit,24,372,358,0.9623655913978495
2018-08-30,transit,25,276,266,0.9637681159420289
2018-08-30,transit,26,245,233,0.9510204081632653
2018-08-30,transit,27,314,306,0.9745222929936306
2018-08-30,transit,28,302,290,0.9602649006622517
2018-08-30,transit,29,311,303,0.9742765273311897
2018-08-30,transit,30,322,313,0.9720496894409938
2018-08-30,transit,31,288,276,0.9583333333333334
2018-08-30,transit,32,188,180,0.9574468085106383
2018-08-30,transit,33,176,171,0.9715909090909091
2018-08-30,transit,34,189,185,0.9788359788359788
2018-08-30,transit,35,247,244,0.9878542510121457
2018-08-30,transit,36,268,262,0.9776119402985075
2018-08-30,transit,37,271,262,0.966789667896679
2018-08-30,transit,38,307,297,0.9674267100977199
2018-08-30,transit,39,215,212,0.986046511627907
2018-08-30,transit,40,187,184,0.983957219251337
2018-08-30,transit,41,250,246,0.984
2018-08-30,transit,42,253,249,0.9841897233201581
2018-08-30,transit,43,307,301,0.9804560260586319
2018-08-30,transit,44,221,216,0.9773755656108597
2018-08-30,transit,45,245,238,0.9714285714285714
2018-08-30,transit,46,152,147,0.9671052631578947
2018-08-30,transit,47,148,142,0.9594594594594594
2018-08-30,transit,48,168,167,0.9940476190476191
2018-08-30,transit,49,124,117,0.9435483870967742
2018-08-30,transit,50,127,122,0.9606299212598425
2018-08-30,transit,51,134,129,0.9626865671641791
2018-08-30,transit,52,148,146,0.9864864864864865
2018-08-30,transit,53,122,118,0.9672131147540983
2018-08-30,transit,54,91,89,0.978021978021978
2018-08-30,transit,55,121,120,0.9917355371900827
2018-08-30,transit,56,195,193,0.9897435897435898
2018-08-30,transit,57,256,251,0.98046875
2018-08-30,transit,58,216,212,0.9814814814814815
2018-08-30,transit,59,195,193,0.9897435897435898
2018-08-30,transit,60,161,156,0.968944099378882
