target,scope,count,mean,p01,median,p90,p95,p99
handling,raw,97644,2.8050381811449983,-0.06948229166666665,1.818396990740741,5.998010416666666,8.097952546296293,17.15094618055554
handling,nonnegative_only,96285,2.8591860562008233,0.07704583333333334,1.8516666666666666,6.029831018518519,8.160886574074077,17.20689074074078
transit,raw,96475,9.330546923017861,0.8119300925925925,7.099768518518519,18.899972222222235,24.209711805555557,40.9830469907407
transit,nonnegative_only,96452,9.333551409686992,0.8158047453703704,7.100312499999999,18.902266203703707,24.210677662037032,40.98477997685189
