model_family,family,specification,model_id,representation,method,evaluation_fold,log_loss,brier,invalid_reason,mean_log_loss,mean_brier,valid_folds,complexity,selected,calibrator_parameters_json,oof_n_orders,oof_order_id_sha256
logistic_l2,logistic_l2,DPG,DPG,full,isotonic,2,0.11543928592,0.0241296177465,,0.183469186829,0.0410794852645,2,2,False,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
logistic_l2,logistic_l2,DPG,DPG,full,isotonic,3,0.251499087739,0.0580293527825,,0.183469186829,0.0410794852645,2,2,False,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
logistic_l2,logistic_l2,DPS,DPS,full,none,2,0.113619884489,0.0240946032808,,0.17580208145,0.0409421745926,2,0,True,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
logistic_l2,logistic_l2,DPS,DPS,full,none,3,0.237984278412,0.0577897459043,,0.17580208145,0.0409421745926,2,0,True,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
logistic_l2,logistic_l2,DPS,DPS,full,platt,2,0.118990678149,0.0243786053411,,0.185399086167,0.0414899598643,2,1,False,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
logistic_l2,logistic_l2,DPS,DPS,full,platt,3,0.251807494184,0.0586013143876,,0.185399086167,0.0414899598643,2,1,False,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
logistic_l2,logistic_l2,DPS,DPS,full,isotonic,2,0.120838256539,0.0243358825189,,0.186802624597,0.0414720426801,2,2,False,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
logistic_l2,logistic_l2,DPS,DPS,full,isotonic,3,0.252766992656,0.0586082028413,,0.186802624597,0.0414720426801,2,2,False,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
xgboost,xgboost,DP0,DP0,full,none,2,0.116660316992,0.0243025559988,,0.178883501519,0.0411994846454,2,0,True,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
xgboost,xgboost,DP0,DP0,full,none,3,0.241106686046,0.058096413292,,0.178883501519,0.0411994846454,2,0,True,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
