period,cohort,cohort_month,origin,family,model_id,model_name,representation,probability_type,probability_variant,calibration_method,n_train,train_order_id_sha256,fitted_model_sha256,model_hash_type,n_orders,n_events,prevalence,log_loss,brier,average_precision,roc_auc,top_5pct_lift,top_10pct_lift,top_10pct_recall,calibration_intercept,calibration_slope,wace,calibration_invalid_reason,order_id_sha256,model_family,specification,n_obs,brier_score,top10_lift,comparison,candidate_model,reference_model,ablation_id,reference_fitted_model_sha256,delta_log_loss,delta_brier,delta_brier_score,both_improved_month_count
later,2018-01,2018-01,2018-01-01,xgboost,DPB,Promise + both profile blocks,metadata_only,raw,raw,,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,5ffe3c5f52ef6421f35949ccb69c09799c9ce0c12f22a58191e9251da9a59dd7,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.22000643116,0.0538871999391,0.0771786657897,0.617223136706,1.28831784217,1.46381277617,0.146401985112,19.4579538395,7.16484880589,0.0221144314089,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,xgboost,DPB,7069,0.0538871999391,1.46381277617,DPB-DP0,DPB,DP0,DPB_metadata_only,bd2590b6d8f4b87eb5104ed856babb8a2983cfde7a82547f93bd4f7a059f1ab1,-0.000707011972363,-5.86226632536e-05,-5.86226632536e-05,
later,2018-01,2018-01,2018-01-01,xgboost,DPB,Promise + both profile blocks,score_only,raw,raw,,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,fea0cd8373c9355a7724207fae3eb6f1ae6cb523a544953c3cf7bfc4a4607ae3,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.218206388488,0.0537201967796,0.10612934796,0.66491655369,2.22978088068,2.23293474331,0.223325062035,15.2745793701,5.92161555421,0.0265200102473,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,xgboost,DPB,7069,0.0537201967796,2.23293474331,DPB-DP0,DPB,DP0,DPB_score_only,bd2590b6d8f4b87eb5104ed856babb8a2983cfde7a82547f93bd4f7a059f1ab1,-0.00250705464411,-0.000225625822718,-0.000225625822718,
later,2018-01,2018-01,2018-01-01,xgboost,DPG,Promise + geographic profiles,full,raw,raw,none,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,f0ffe4452ab348b733184f5d749e4c4ec655940e204c9fbc3d9df0bd121bc1e9,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.219296082978,0.0538293462464,0.100432641509,0.659222497932,2.57663568434,2.40660744557,0.240694789082,8.12198126916,3.54877779433,0.0242568121817,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,xgboost,DPG,7069,0.0538293462464,2.40660744557,DPG-DP0,DPG,DP0,DPG_full,bd2590b6d8f4b87eb5104ed856babb8a2983cfde7a82547f93bd4f7a059f1ab1,-0.00141736015436,-0.000116476355956,-0.000116476355956,
later,2018-01,2018-01,2018-01-01,xgboost,DPG,Promise + geographic profiles,metadata_only,raw,raw,,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,e74af0a82efd634a2bd66ae99a8394ed85e5fbbbdc17de1ff33927540d870c76,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.219004544511,0.0537938804129,0.085491854668,0.631250842206,1.83337539078,1.6871062505,0.168734491315,8.90143696665,3.79678850385,0.0214222717716,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,xgboost,DPG,7069,0.0537938804129,1.6871062505,DPG-DP0,DPG,DP0,DPG_metadata_only,bd2590b6d8f4b87eb5104ed856babb8a2983cfde7a82547f93bd4f7a059f1ab1,-0.00170889862107,-0.000151942189425,-0.000151942189425,
later,2018-01,2018-01,2018-01-01,xgboost,DPG,Promise + geographic profiles,score_only,raw,raw,,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,2d7eca6938f6704bbaff4e6bc66c2177a4c74f8766481b994d3ac767bd30c4d8,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.218587099576,0.0537580200269,0.0997550617088,0.662726446342,2.62618637058,1.98483088295,0.198511166253,17.4933638605,6.61971294599,0.0244312516224,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,xgboost,DPG,7069,0.0537580200269,1.98483088295,DPG-DP0,DPG,DP0,DPG_score_only,bd2590b6d8f4b87eb5104ed856babb8a2983cfde7a82547f93bd4f7a059f1ab1,-0.00212634355596,-0.000187802575414,-0.000187802575414,
later,2018-01,2018-01,2018-01-01,xgboost,DPS,Promise + seller profiles,full,raw,raw,none,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,f33bb420e427da45e831191b3cba099d0cf9d8baa1848508a2fcb8a13e9e1a1c,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.220214673442,0.053902087899,0.0652123099744,0.537126293274,1.09011509722,1.2157089158,0.12158808933,6.56753818462,3.0443807923,0.0155631147867,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,xgboost,DPS,7069,0.053902087899,1.2157089158,DPS-DP0,DPS,DP0,DPS_full,bd2590b6d8f4b87eb5104ed856babb8a2983cfde7a82547f93bd4f7a059f1ab1,-0.000498769689566,-4.37347033592e-05,-4.37347033592e-05,
later,2018-01,2018-01,2018-01-01,xgboost,DPS,Promise + seller profiles,metadata_only,raw,raw,,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,bb42c8fa847628a89ec93ae8de0abe30c3de6ab1394767a5d309f904f8178c78,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.220631293418,0.0539374544211,0.0580487896894,0.499370904832,0.842361666036,0.744311581105,0.0744416873449,0.0868227614355,0.936076367196,0.0137235988155,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,xgboost,DPS,7069,0.0539374544211,0.744311581105,DPS-DP0,DPS,DP0,DPS_metadata_only,bd2590b6d8f4b87eb5104ed856babb8a2983cfde7a82547f93bd4f7a059f1ab1,-8.21497139203e-05,-8.36818123969e-06,-8.36818123969e-06,
later,2018-01,2018-01,2018-01-01,xgboost,DPS,Promise + seller profiles,score_only,raw,raw,,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,aea7fec3428399675c3022c8396c84fdfdc36af4e2c16d3e5a5e3c86b725b2d0,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.220188169754,0.0539008794503,0.0671623705936,0.543205251046,1.28831784217,1.38938161806,0.138957816377,9.8709770889,4.12243206992,0.017383380927,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,xgboost,DPS,7069,0.0539008794503,1.38938161806,DPS-DP0,DPS,DP0,DPS_score_only,bd2590b6d8f4b87eb5104ed856babb8a2983cfde7a82547f93bd4f7a059f1ab1,-0.000525273377848,-4.49431520532e-05,-4.49431520532e-05,
later,2018-02,2018-02,2018-02-01,logistic_l2,DPB,Promise + both profile blocks,full,raw,raw,none,42578,a51820ff53f7771f9c44ce45be1dcb2d238a8e28dccc88b566859c028e0e982b,9443d164e5e393404315e15625287839412c845d51a1635fc89d6beaea79c1a3,sha256_pickle_protocol_5_fitted_wrapper,6555,926,0.141266209001,0.388878088831,0.116050072054,0.322708388906,0.722785275419,3.10778064584,2.98908069062,0.299136069114,1.0912565237,1.18702054662,0.0606029432055,,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,logistic_l2,DPB,6555,0.116050072054,2.98908069062,DPB-DP0,DPB,DP0,DPB_full,a8cb8604f0f776858c5ecab45050abee97323f894e0032a566c1ebbfb1d8035c,-0.0754480743577,-0.0133061506223,-0.0133061506223,
later,2018-02,2018-02,2018-02-01,logistic_l2,DPB,Promise + both profile blocks,metadata_only,raw,raw,,42578,a51820ff53f7771f9c44ce45be1dcb2d238a8e28dccc88b566859c028e0e982b,4f6a6d0691e11793bfae4be8075f70eae679fa307aa188729a57a9c233500759,sha256_pickle_protocol_5_fitted_wrapper,6555,926,0.141266209001,0.450835555266,0.127353954283,0.183884658519,0.575738606039,1.79129023337,1.61863575304,0.161987041037,0.460000954152,0.800446092185,0.0843216558146,,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,logistic_l2,DPB,6555,0.127353954283,1.61863575304,DPB-DP0,DPB,DP0,DPB_metadata_only,a8cb8604f0f776858c5ecab45050abee97323f894e0032a566c1ebbfb1d8035c,-0.013490607922,-0.00200226839246,-0.00200226839246,
