task,outcome,period,cohort,cohort_month,family,model_family,model_id,specification,representation,quantile,probability_type,metric,estimate,n_orders,n_obs,n_events,order_id_sha256,fitted_model_sha256,evidence_status,evidence_label,mapping_status,median_support
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPB,DPB,full,,calibrated,wace,0.031055230296,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,eec7f8ac345c6f37de531c843742bd3932f3ee53b8cbc0c0d410357008699278,Supported,Supported,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPG,DPG,full,,calibrated,average_precision,0.064837033395,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,5d387df78245276a64020fb2b4aaf30d27e7c80e6eba1352e3a183644f640f8c,Mixed,Mixed,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPG,DPG,full,,calibrated,brier,0.0495735196465,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,5d387df78245276a64020fb2b4aaf30d27e7c80e6eba1352e3a183644f640f8c,Mixed,Mixed,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPG,DPG,full,,calibrated,calibration_intercept,-1.97736332813,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,5d387df78245276a64020fb2b4aaf30d27e7c80e6eba1352e3a183644f640f8c,Mixed,Mixed,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPG,DPG,full,,calibrated,calibration_slope,0.400532298124,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,5d387df78245276a64020fb2b4aaf30d27e7c80e6eba1352e3a183644f640f8c,Mixed,Mixed,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPG,DPG,full,,calibrated,delta_brier,0.00332272711361,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,5d387df78245276a64020fb2b4aaf30d27e7c80e6eba1352e3a183644f640f8c,Mixed,Mixed,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPG,DPG,full,,calibrated,delta_log_loss,0.0088503992877,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,5d387df78245276a64020fb2b4aaf30d27e7c80e6eba1352e3a183644f640f8c,Mixed,Mixed,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPG,DPG,full,,calibrated,log_loss,0.205974574836,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,5d387df78245276a64020fb2b4aaf30d27e7c80e6eba1352e3a183644f640f8c,Mixed,Mixed,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPG,DPG,full,,calibrated,roc_auc,0.592499887499,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,5d387df78245276a64020fb2b4aaf30d27e7c80e6eba1352e3a183644f640f8c,Mixed,Mixed,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPG,DPG,full,,calibrated,top_10pct_lift,1.56368482585,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,5d387df78245276a64020fb2b4aaf30d27e7c80e6eba1352e3a183644f640f8c,Mixed,Mixed,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPG,DPG,full,,calibrated,wace,0.0370212011345,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,5d387df78245276a64020fb2b4aaf30d27e7c80e6eba1352e3a183644f640f8c,Mixed,Mixed,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPS,DPS,full,,calibrated,average_precision,0.0697987206935,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,4063cae413a0818a14a0f21a60b2f39d5b082ce616933652665ae1118d293203,Supported,Supported,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPS,DPS,full,,calibrated,brier,0.0458496635207,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,4063cae413a0818a14a0f21a60b2f39d5b082ce616933652665ae1118d293203,Supported,Supported,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPS,DPS,full,,calibrated,calibration_intercept,0.372903795193,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,4063cae413a0818a14a0f21a60b2f39d5b082ce616933652665ae1118d293203,Supported,Supported,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPS,DPS,full,,calibrated,calibration_slope,1.2943405882,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,4063cae413a0818a14a0f21a60b2f39d5b082ce616933652665ae1118d293203,Supported,Supported,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPS,DPS,full,,calibrated,delta_brier,-0.000401129012156,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,4063cae413a0818a14a0f21a60b2f39d5b082ce616933652665ae1118d293203,Supported,Supported,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPS,DPS,full,,calibrated,delta_log_loss,-0.00434025359825,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,4063cae413a0818a14a0f21a60b2f39d5b082ce616933652665ae1118d293203,Supported,Supported,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPS,DPS,full,,calibrated,log_loss,0.19278392195,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,4063cae413a0818a14a0f21a60b2f39d5b082ce616933652665ae1118d293203,Supported,Supported,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPS,DPS,full,,calibrated,roc_auc,0.628878936025,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,4063cae413a0818a14a0f21a60b2f39d5b082ce616933652665ae1118d293203,Supported,Supported,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPS,DPS,full,,calibrated,top_10pct_lift,1.34743054142,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,4063cae413a0818a14a0f21a60b2f39d5b082ce616933652665ae1118d293203,Supported,Supported,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPS,DPS,full,,calibrated,wace,0.0223871472989,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,4063cae413a0818a14a0f21a60b2f39d5b082ce616933652665ae1118d293203,Supported,Supported,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,xgboost,xgboost,DP0,DP0,full,,calibrated,average_precision,0.0611703931816,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,0369fd846a86e5b604a24c0304d916951ef795ef50024a387e8ed9feb3704702,Reference,Reference,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,xgboost,xgboost,DP0,DP0,full,,calibrated,brier,0.0463179732128,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,0369fd846a86e5b604a24c0304d916951ef795ef50024a387e8ed9feb3704702,Reference,Reference,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,xgboost,xgboost,DP0,DP0,full,,calibrated,calibration_intercept,21.6625447549,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,0369fd846a86e5b604a24c0304d916951ef795ef50024a387e8ed9feb3704702,Reference,Reference,,
