period,cohort,cohort_month,family,model_family,comparison,candidate_model,candidate_specification,reference_model,reference_specification,representation,probability_type,probability_variant,n_orders,n_obs,n_events,order_id_sha256,paired_order_id_sha256,delta_log_loss,delta_brier,delta_brier_score,delta_average_precision,delta_roc_auc,delta_top_10pct_lift,delta_top10_lift,delta_calibration_intercept,delta_calibration_slope,is_pooled,replicates,valid_replicates,n_blocks,delta_log_loss_lower,delta_log_loss_upper,delta_brier_lower,delta_brier_upper,invalid_reason,task,model_family_evidence,candidate_specification_evidence,reference_specification_evidence,representation_evidence,later_month_count,primary_evidence_available,median_delta_log_loss,median_delta_brier,both_improved_month_count,high_support_guard_available,high_support_median_delta_log_loss,high_support_median_delta_brier,high_support_material_reversal,high_support_no_material_reversal,calibration_guard_available,median_delta_wace,median_delta_absolute_calibration_slope_error,calibration_not_systematically_worse,calibration_systematically_worse,score_guard_available,score_only_median_delta_log_loss,full_beats_metadata_log_loss,full_no_metadata_brier_worsening,score_contributes,benefit_not_metadata_only,all_guards_available,all_guards_pass,evidence_status,evidence_label,evidence_reason
aggregate,later_pooled,later_pooled,xgboost,xgboost,DPB-DP0,DPB,DPB,DP0,DP0,full,calibrated,calibrated,40270,40270,3477,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,-0.00264201929194,-0.000293070443649,-0.000293070443649,0.008569781964,0.0265565631619,0.0834052343975,0.0834052343975,2.32257040157,0.81309625799,True,500,500,26,-0.00409883273241,-0.00136321460318,-0.000462650853345,-0.000151374321176,,breach,xgboost,DPB,DP0,full,6,True,-0.00229967244447,-0.000293696109202,5,True,-0.0021127497292,-0.000266410356161,False,True,True,0.00431574578376,2.43431455748,False,True,True,-0.00345421615059,True,True,True,True,True,False,Mixed,Mixed,required_guard_unavailable_or_failed
aggregate,later_pooled,later_pooled,xgboost,xgboost,DPG-DP0,DPG,DPG,DP0,DP0,full,calibrated,calibrated,40270,40270,3477,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,-0.00208358168925,-0.000234990501204,-0.000234990501204,0.00817575625456,0.0213229325228,0.209951107276,0.209951107276,2.15381084979,0.75688944853,True,500,500,26,-0.00301524581808,-0.00128256206664,-0.000341513491146,-0.000134419986147,,breach,xgboost,DPG,DP0,full,6,True,-0.00197620878246,-0.00026123594082,5,True,-0.00209210496204,-0.000278590971538,False,True,True,0.00361843907148,0.978250023739,False,True,True,-0.00240607535493,False,False,True,True,True,False,Mixed,Mixed,required_guard_unavailable_or_failed
aggregate,later_pooled,later_pooled,xgboost,xgboost,DPS-DP0,DPS,DPS,DP0,DP0,full,calibrated,calibrated,40270,40270,3477,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,-0.000249267081702,-2.50604254213e-05,-2.50604254213e-05,-0.0056818583266,-0.011808654941,-0.189818809318,-0.189818809318,0.0596046204128,0.0187510740453,True,500,500,26,-0.0005944880424,5.34926038726e-05,-6.40502803776e-05,8.66950236262e-06,,breach,xgboost,DPS,DP0,full,6,True,-0.000144657998041,-1.96016143433e-05,5,True,-9.00338311444e-05,-1.56794437653e-05,False,True,True,-0.000743503690553,-2.55850693217,True,False,True,-0.000359882171151,True,False,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass
later,2018-01,2018-01,logistic_l2,logistic_l2,DPB-DP0,DPB,DPB,DP0,DP0,full,calibrated,calibrated,7069,7069,403,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,-0.0169258858061,-0.00200646029347,-0.00200646029347,0.0779089546368,0.212912234151,1.86077895276,1.86077895276,3.42558199704,1.15784758981,False,500,500,5,-0.0296407761423,-0.00526181579418,-0.00373634058418,-0.000458363922129,,breach,logistic_l2,DPB,DP0,full,6,True,-0.0188355042404,-0.00146902299902,5,True,-0.0178964373712,-0.00140057680524,False,True,True,-0.0166763314017,-3.63404763384,True,False,True,-0.0194931043395,True,False,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass
later,2018-01,2018-01,logistic_l2,logistic_l2,DPG-DP0,DPG,DPG,DP0,DP0,full,calibrated,calibrated,7069,7069,403,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,-0.0137668385824,-0.00164537983728,-0.00164537983728,0.0650520044274,0.195183290041,2.1585035852,2.1585035852,3.44230522534,1.14949993246,False,500,500,5,-0.025098535661,-0.00389436859597,-0.00304178463459,-0.000477219520717,,breach,logistic_l2,DPG,DP0,full,6,True,-0.0126256584508,-0.000678203167734,3,True,-0.0125311675792,-0.000651481391294,False,True,True,-0.0113356271504,-3.47809936608,True,False,True,-0.0132700613425,True,False,True,True,True,True,Mixed,Mixed,exactly_three_both_improved_months
later,2018-01,2018-01,logistic_l2,logistic_l2,DPS-DP0,DPS,DPS,DP0,DP0,full,calibrated,calibrated,7069,7069,403,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,-0.00185672346073,-0.000229430192901,-0.000229430192901,0.0200038925398,0.0535762012926,0.793932353179,0.793932353179,1.96947502276,0.626269831741,False,500,500,5,-0.00346745322287,6.29565578784e-05,-0.000441701157578,-7.6291170335e-06,,breach,logistic_l2,DPS,DP0,full,6,True,-0.00415653020117,-0.00047411302235,6,True,-0.00388823165404,-0.000390794822282,False,True,True,-0.00754606386358,-3.46107307636,True,False,True,-0.00375374505547,True,True,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass
later,2018-01,2018-01,xgboost,xgboost,DPB-DP0,DPB,DPB,DP0,DP0,full,calibrated,calibrated,7069,7069,403,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,-0.00181105865422,-0.00015446444412,-0.00015446444412,0.0344592532819,0.164577624016,0.694690809031,0.694690809031,14.4498990462,4.71308727937,False,500,500,5,-0.00287548055639,-0.000851730389971,-0.000248287154102,-7.06340024076e-05,,breach,xgboost,DPB,DP0,full,6,True,-0.00229967244447,-0.000293696109202,5,True,-0.0021127497292,-0.000266410356161,False,True,True,0.00431574578376,2.43431455748,False,True,True,-0.00345421615059,True,True,True,True,True,False,Mixed,Mixed,required_guard_unavailable_or_failed
later,2018-01,2018-01,xgboost,xgboost,DPG-DP0,DPG,DPG,DP0,DP0,full,calibrated,calibrated,7069,7069,403,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,-0.00141736015436,-0.000116476355956,-0.000116476355956,0.0425055398094,0.165821669016,1.2157089158,1.2157089158,13.7995592636,4.47774264682,False,500,500,5,-0.00207589142408,-0.000802963592101,-0.000170667646215,-6.54720241973e-05,,breach,xgboost,DPG,DP0,full,6,True,-0.00197620878246,-0.00026123594082,5,True,-0.00209210496204,-0.000278590971538,False,True,True,0.00361843907148,0.978250023739,False,True,True,-0.00240607535493,False,False,True,True,True,False,Mixed,Mixed,required_guard_unavailable_or_failed
later,2018-01,2018-01,xgboost,xgboost,DPS-DP0,DPS,DPS,DP0,DP0,full,calibrated,calibrated,7069,7069,403,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,-0.000498769689566,-4.37347033592e-05,-4.37347033592e-05,0.00728520827527,0.0437254643579,0.0248103860368,0.0248103860368,12.2451161791,3.97334564479,False,500,500,5,-0.000890225846495,-0.00020117535781,-7.96227618152e-05,-1.69295890786e-05,,breach,xgboost,DPS,DP0,full,6,True,-0.000144657998041,-1.96016143433e-05,5,True,-9.00338311444e-05,-1.56794437653e-05,False,True,True,-0.000743503690553,-2.55850693217,True,False,True,-0.000359882171151,True,False,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass
later,2018-02,2018-02,logistic_l2,logistic_l2,DPB-DP0,DPB,DPB,DP0,DP0,full,calibrated,calibrated,6555,6555,926,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,-0.0754480743577,-0.0133061506223,-0.0133061506223,0.187501797013,0.209607509246,2.67614444503,2.67614444503,-0.391170181242,0.0588602630275,False,500,500,5,-0.123489256076,-0.0297947004125,-0.0222377739488,-0.00502508189534,,breach,logistic_l2,DPB,DP0,full,6,True,-0.0188355042404,-0.00146902299902,5,True,-0.0178964373712,-0.00140057680524,False,True,True,-0.0166763314017,-3.63404763384,True,False,True,-0.0194931043395,True,False,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass
