period,cohort,cohort_month,origin,family,model_id,model_name,quantile,representation,n_train_breaches,train_order_id_sha256,fitted_model_sha256,model_hash_type,unconditional_training_quantile,unconditional_reference_loss,baseline_pinball_loss,dq0_reference_loss,skill,skill_vs_dq0,skill_vs_unconditional,nominal_coverage,order_id_sha256,n_orders,pinball_loss,empirical_coverage,coverage_error,median_prediction,mean_prediction,median_actual,mean_actual,mean_exceedance,p90_absolute_error,model_family,specification,n_obs,coverage,comparison,candidate_model,reference_model,ablation_id,favourable_month_count
later,2018-01,2018-01,2018-01-01,linear_quantile,DQS,Promise + seller profiles,0.9,full,1575,e6a57d0489d8ee13591169e9f3fa6f0c76d0a20b8826c31bd454f882ce01994b,7961a6f1adae616f90d9609e77458e35bb391f63182a8f0551bc510c969ac665,sha256_pickle_protocol_5_fitted_wrapper,17,4.05037220844,3.91393097227,3.91393097227,0.00434252522095,0.00434252522095,0.0378823407416,0.9,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,3.89693462831,0.826302729529,-0.0736972704715,18.1905332719,18.3681820605,7,11.8808933002,18.7003845453,18.1631974845,linear_quantile,DQS,403,0.826302729529,DQS-DQ0,DQS,DQ0,DQS_full,
later,2018-01,2018-01,2018-01-01,linear_quantile,DQS,Promise + seller profiles,0.9,score_only,1575,e6a57d0489d8ee13591169e9f3fa6f0c76d0a20b8826c31bd454f882ce01994b,84cea58908318516ba76925d01481ac31d3903bd3e1bec00413aa456b9f40e25,sha256_pickle_protocol_5_fitted_wrapper,,,3.91393097227,3.91393097227,0.00141214928033,0.00141214928033,,0.9,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,3.90840391746,0.826302729529,-0.0736972704715,18.3723860877,18.3876675731,7,11.8808933002,18.7551967935,18.145424798,linear_quantile,DQS,403,0.826302729529,DQS-DQ0,DQS,DQ0,DQS_score_only,
later,2018-01,2018-01,2018-01-01,xgboost_quantile,DQB,Promise + both profile blocks,0.5,full,1575,e6a57d0489d8ee13591169e9f3fa6f0c76d0a20b8826c31bd454f882ce01994b,83ea90889ffbe98ba0a6b0c59de775a492a3c4b315a00d9f1042ea2382df6b47,sha256_pickle_protocol_5_fitted_wrapper,5,4.31389578164,4.31145781145,4.31145781145,-0.000129494632217,-0.000129494632217,0.000435722055948,0.5,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.3120161221,0.397022332506,-0.102977667494,5.03000020981,5.02132767306,7,11.8808933002,12.8392797164,19.9699997902,xgboost_quantile,DQB,403,0.397022332506,DQB-DQ0,DQB,DQ0,DQB_full,
later,2018-01,2018-01,2018-01-01,xgboost_quantile,DQB,Promise + both profile blocks,0.5,score_only,1575,e6a57d0489d8ee13591169e9f3fa6f0c76d0a20b8826c31bd454f882ce01994b,44ad6c808499f4412994daa01caf76f54f2cef410bcf3955cb00e91a743b8378,sha256_pickle_protocol_5_fitted_wrapper,,,4.31145781145,4.31145781145,0.000125176657949,0.000125176657949,,0.5,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.31091811758,0.397022332506,-0.102977667494,5.03000020981,5.03081887177,7,11.8808933002,12.8295884721,19.9639998436,xgboost_quantile,DQB,403,0.397022332506,DQB-DQ0,DQB,DQ0,DQB_score_only,
later,2018-01,2018-01,2018-01-01,xgboost_quantile,DQB,Promise + both profile blocks,0.9,full,1575,e6a57d0489d8ee13591169e9f3fa6f0c76d0a20b8826c31bd454f882ce01994b,113bae262b787fa72764a1a07b8849a0942304c91bc17ee60dfa77d1822242fb,sha256_pickle_protocol_5_fitted_wrapper,17,4.05037220844,3.99849137952,3.99849137952,-0.0134393822764,-0.0134393822764,-0.000458334485945,0.9,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.0522286337,0.806451612903,-0.0935483870968,17.1143398285,17.1194687694,7,11.8808933002,18.2299172817,16.236371994,xgboost_quantile,DQB,403,0.806451612903,DQB-DQ0,DQB,DQ0,DQB_full,
later,2018-01,2018-01,2018-01-01,xgboost_quantile,DQB,Promise + both profile blocks,0.9,score_only,1575,e6a57d0489d8ee13591169e9f3fa6f0c76d0a20b8826c31bd454f882ce01994b,3871ba85069488af2c2bed3d74d907b9fa01bfdad11023f66af0fbf52fcaa7bb,sha256_pickle_protocol_5_fitted_wrapper,,,3.99849137952,3.99849137952,-0.00484819066465,-0.00484819066465,,0.9,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.0178768281,0.806451612903,-0.0935483870968,16.9783611298,17.4741264514,7,11.8808933002,17.8691931504,16.6344776154,xgboost_quantile,DQB,403,0.806451612903,DQB-DQ0,DQB,DQ0,DQB_score_only,
later,2018-01,2018-01,2018-01-01,xgboost_quantile,DQG,Promise + state-OD profiles,0.5,full,1575,e6a57d0489d8ee13591169e9f3fa6f0c76d0a20b8826c31bd454f882ce01994b,aab35819807e78e72bdd80568e4cd72ed9baadbc3784d373f720a9761c591981,sha256_pickle_protocol_5_fitted_wrapper,5,4.31389578164,4.31145781145,4.31145781145,7.33786678441e-05,7.33786678441e-05,0.000638480703482,0.5,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.31114144242,0.397022332506,-0.102977667494,5.03000020981,5.03305212026,7,11.8808933002,12.828106992,19.9400000572,xgboost_quantile,DQG,403,0.397022332506,DQG-DQ0,DQG,DQ0,DQG_full,
later,2018-01,2018-01,2018-01-01,xgboost_quantile,DQG,Promise + state-OD profiles,0.5,score_only,1575,e6a57d0489d8ee13591169e9f3fa6f0c76d0a20b8826c31bd454f882ce01994b,bc36cc22e6f2c8cb7db81232ced17124893037fd457480029db5f43f73cc0fd5,sha256_pickle_protocol_5_fitted_wrapper,,,4.31145781145,4.31145781145,-0.000116548805271,-0.000116548805271,,0.5,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.31196030671,0.379652605459,-0.120347394541,5.03000020981,5.02650122252,7,11.8808933002,12.4755200291,19.9099998474,xgboost_quantile,DQG,403,0.379652605459,DQG-DQ0,DQG,DQ0,DQG_score_only,
later,2018-01,2018-01,2018-01-01,xgboost_quantile,DQG,Promise + state-OD profiles,0.9,full,1575,e6a57d0489d8ee13591169e9f3fa6f0c76d0a20b8826c31bd454f882ce01994b,656dc7795137addc1ee59628935e56685e17a493457b663d41044c122f199542,sha256_pickle_protocol_5_fitted_wrapper,17,4.05037220844,3.99849137952,3.99849137952,-0.00750139439457,-0.00750139439457,0.00540359427895,0.9,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.02848564034,0.801488833747,-0.0985111662531,16.9246368408,17.0968821126,7,11.8808933002,17.665942049,16.3882511139,xgboost_quantile,DQG,403,0.801488833747,DQG-DQ0,DQG,DQ0,DQG_full,
later,2018-01,2018-01,2018-01-01,xgboost_quantile,DQG,Promise + state-OD profiles,0.9,score_only,1575,e6a57d0489d8ee13591169e9f3fa6f0c76d0a20b8826c31bd454f882ce01994b,7a8a4ccb589af5909afa56394c58512214c492a2d4311d4d999cc6a8e224d43d,sha256_pickle_protocol_5_fitted_wrapper,,,3.99849137952,3.99849137952,-0.00225089179628,-0.00225089179628,,0.9,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.00749155097,0.808933002481,-0.0910669975186,17.2035732269,17.5262354953,7,11.8808933002,18.0196338257,16.3966617584,xgboost_quantile,DQG,403,0.808933002481,DQG-DQ0,DQG,DQ0,DQG_score_only,
