task,block,period,cohort,cohort_month,family,quantile,comparison,candidate_model,model_id,specification,reference_model,representation,support_stratum,median_support,cold_start_share,baseline_pinball_loss,delta_pinball_loss,skill,skill_vs_dq0,order_id_sha256,n_orders,pinball_loss,empirical_coverage,coverage_error,median_prediction,mean_prediction,median_actual,mean_actual,mean_exceedance,p90_absolute_error,model_family,n_obs,coverage,high_support_guard_available,support_ge20_gain_present,high_support_guard,gain_only_low_support,task_evidence,model_family_evidence,candidate_specification,reference_specification,representation_evidence,later_month_count,primary_evidence_available,median_skill,favourable_month_count,high_support_guard_available_evidence,high_support_median_skill,high_support_favourable_month_count,support_ge20_gain_present_evidence,high_support_guard_evidence,gain_only_low_support_evidence,coverage_guard_available,median_absolute_coverage_error_deterioration,coverage_not_materially_worse,coverage_materially_worse,all_guards_available,all_guards_pass,evidence_status,evidence_label,evidence_reason
severity,geographic,later,2018-01,2018-01,linear_quantile,0.5,DQG-DQ0,DQG,DQG,DQG,DQ0,full,0-4,3.5,0,1.77795451295,0.0742186514539,-0.0417438415401,-0.0417438415401,a5db2e935078733d857a35ad40fe610881f46845a0cff4472dd70e5062967879,10,1.8521731644,0.4,-0.1,6.44048549162,6.09726940658,7.5,6.9,3.75589743519,6.51287989269,linear_quantile,10,0.4,True,False,False,True,severity,linear_quantile,DQG,DQ0,full,6,True,-0.00502930204561,3,True,-0.00443833023516,3,False,False,True,True,0.0201086034278,True,False,True,False,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months
severity,geographic,later,2018-01,2018-01,linear_quantile,0.5,DQG-DQ0,DQG,DQG,DQG,DQ0,full,10-19,17,0,5.39961728004,-0.0494263734759,0.00915368088376,0.00915368088376,456378d357bef27d97d1d5b1ac3d6223b29087a43133570b25d0fa8b2d385870,6,5.35019090656,0.166666666667,-0.333333333333,5.86708722614,6.06445383491,10,15.6666666667,12.1815567869,25.6863917479,linear_quantile,6,0.166666666667,True,False,False,True,severity,linear_quantile,DQG,DQ0,full,6,True,-0.00502930204561,3,True,-0.00443833023516,3,False,False,True,True,0.0201086034278,True,False,True,False,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months
severity,geographic,later,2018-01,2018-01,linear_quantile,0.5,DQG-DQ0,DQG,DQG,DQG,DQ0,full,20+,433.5,0,4.24383490345,-0.0157808275854,0.00371853004286,0.00371853004286,02ddeb31e40ed2b73164f9a9beb44d8ae6505303f2636a763378a36f5583828f,376,4.22805407587,0.449468085106,-0.0505319148936,6.38657748038,6.18165844377,7,11.9015957447,12.8748625367,18.4347975703,linear_quantile,376,0.449468085106,True,False,False,True,severity,linear_quantile,DQG,DQ0,full,6,True,-0.00502930204561,3,True,-0.00443833023516,3,False,False,True,True,0.0201086034278,True,False,True,False,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months
severity,geographic,later,2018-01,2018-01,linear_quantile,0.5,DQG-DQ0,DQG,DQG,DQG,DQ0,full,5-9,6,0,6.40144465787,0.0677107701792,-0.0105774202228,-0.0105774202228,42c97a8d9414d4259c6e77773bdb572e3331fbba418e1ba95989fdd9d777cabc,9,6.46915542805,0.666666666667,0.166666666667,6.29437735065,6.30134586906,4,14.5555555556,31.7887808139,22.5347391272,linear_quantile,9,0.666666666667,True,False,False,True,severity,linear_quantile,DQG,DQ0,full,6,True,-0.00502930204561,3,True,-0.00443833023516,3,False,False,True,True,0.0201086034278,True,False,True,False,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months
severity,geographic,later,2018-01,2018-01,linear_quantile,0.5,DQG-DQ0,DQG,DQG,DQG,DQ0,full,cold_start,0,1,2.06428392627,-0.19209064989,0.0930543746649,0.0930543746649,b869a253ed04ceb7fbac6df7cafb09f648872ac28472c7cb9e7acd8041ce0c79,2,1.87219327638,0.5,0,5.81213626143,5.81213626143,9.5,9.5,7.43225029134,6.69467754362,linear_quantile,2,0.5,True,False,False,True,severity,linear_quantile,DQG,DQ0,full,6,True,-0.00502930204561,3,True,-0.00443833023516,3,False,False,True,True,0.0201086034278,True,False,True,False,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months
severity,geographic,later,2018-01,2018-01,linear_quantile,0.9,DQG-DQ0,DQG,DQG,DQG,DQ0,full,0-4,3.5,0,1.25060422251,0.168756653167,-0.134940095459,-0.134940095459,a5db2e935078733d857a35ad40fe610881f46845a0cff4472dd70e5062967879,10,1.41936087568,1,0.1,20.7752082262,21.0936087568,7.5,6.9,0,19.5195645278,linear_quantile,10,1,True,False,False,True,severity,linear_quantile,DQG,DQ0,full,6,True,-0.00250912580818,3,True,-0.00192141993833,3,False,False,True,True,0.00439664202777,True,False,True,False,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months
severity,geographic,later,2018-01,2018-01,linear_quantile,0.9,DQG-DQ0,DQG,DQG,DQG,DQ0,full,10-19,17,0,4.96393385608,-0.360904364736,0.0727053130036,0.0727053130036,456378d357bef27d97d1d5b1ac3d6223b29087a43133570b25d0fa8b2d385870,6,4.60302949135,0.666666666667,-0.233333333333,20.4448699157,20.1708028767,10,15.6666666667,12.457847611,17.2991834394,linear_quantile,6,0.666666666667,True,False,False,True,severity,linear_quantile,DQG,DQ0,full,6,True,-0.00250912580818,3,True,-0.00192141993833,3,False,False,True,True,0.00439664202777,True,False,True,False,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months
severity,geographic,later,2018-01,2018-01,linear_quantile,0.9,DQG-DQ0,DQG,DQG,DQG,DQ0,full,20+,433.5,0,3.85886270371,0.0844857296037,-0.0218939454681,-0.0218939454681,02ddeb31e40ed2b73164f9a9beb44d8ae6505303f2636a763378a36f5583828f,376,3.94334843331,0.803191489362,-0.0968085106383,17.5784824846,17.5450310737,7,11.9015957447,17.1689978723,17.6369128758,linear_quantile,376,0.803191489362,True,False,False,True,severity,linear_quantile,DQG,DQ0,full,6,True,-0.00250912580818,3,True,-0.00192141993833,3,False,False,True,True,0.00439664202777,True,False,True,False,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months
severity,geographic,later,2018-01,2018-01,linear_quantile,0.9,DQG-DQ0,DQG,DQG,DQG,DQ0,full,5-9,6,0,9.04829840031,-0.0189751361003,0.0020970944216,0.0020970944216,42c97a8d9414d4259c6e77773bdb572e3331fbba418e1ba95989fdd9d777cabc,9,9.02932326421,0.888888888889,-0.0111111111111,20.8503460206,21.0760311097,4,14.5555555556,75.3954813792,31.7300350701,linear_quantile,9,0.888888888889,True,False,False,True,severity,linear_quantile,DQG,DQ0,full,6,True,-0.00250912580818,3,True,-0.00192141993833,3,False,False,True,True,0.00439664202777,True,False,True,False,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months
severity,geographic,later,2018-01,2018-01,linear_quantile,0.9,DQG-DQ0,DQG,DQG,DQG,DQ0,full,cold_start,0,1,1.32873713276,0.0363152461374,-0.0273306474561,-0.0273306474561,b869a253ed04ceb7fbac6df7cafb09f648872ac28472c7cb9e7acd8041ce0c79,2,1.3650523789,1,0.1,23.150523789,23.150523789,9.5,9.5,0,17.8040303897,linear_quantile,2,1,True,False,False,True,severity,linear_quantile,DQG,DQ0,full,6,True,-0.00250912580818,3,True,-0.00192141993833,3,False,False,True,True,0.00439664202777,True,False,True,False,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months
