period,cohort_month,cohort,model_family,family,specification,model_id,representation,probability_variant,probability_type,bin,n,positives,prevalence,mean_probability,min_probability,max_probability,absolute_calibration_error,weight,fitted_model_sha256,order_id_sha256
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DP0,DP0,full,raw,raw,7,4027,153,0.0379935435808,0.0645234851814,0.0620440044723,0.0717330606957,0.0265299416006,0.1,83789b5b61a8824887e2e1961a3a76017f99fd10e02131d8da5eef3a3f69c3dd,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DP0,DP0,full,raw,raw,8,4027,50,0.0124161907127,0.0730245488116,0.0717361317368,0.0736019935397,0.060608358099,0.1,83789b5b61a8824887e2e1961a3a76017f99fd10e02131d8da5eef3a3f69c3dd,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DP0,DP0,full,raw,raw,9,4027,102,0.0253290290539,0.0742251726981,0.0736020334324,0.0754926631386,0.0488961436442,0.1,83789b5b61a8824887e2e1961a3a76017f99fd10e02131d8da5eef3a3f69c3dd,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DP0,DP0,full,raw,raw,10,4027,349,0.0866650111746,0.0779041530914,0.0754927622013,0.0813672169603,0.00876085808319,0.1,83789b5b61a8824887e2e1961a3a76017f99fd10e02131d8da5eef3a3f69c3dd,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPB,DPB,full,calibrated,calibrated,1,4027,44,0.0109262478272,0.0136664918884,2.05462592474e-06,0.0211045994044,0.0027402440612,0.1,f1db031425071febea902b5a930da8e852ad0845c877722404229e64749f06d1,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPB,DPB,full,calibrated,calibrated,2,4027,91,0.0225974670971,0.0264972009508,0.0211048698045,0.0317136460721,0.00389973385366,0.1,f1db031425071febea902b5a930da8e852ad0845c877722404229e64749f06d1,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPB,DPB,full,calibrated,calibrated,3,4027,191,0.0474298485225,0.0365188508391,0.0317178180454,0.0413532366055,0.0109109976833,0.1,f1db031425071febea902b5a930da8e852ad0845c877722404229e64749f06d1,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPB,DPB,full,calibrated,calibrated,4,4027,194,0.0481748199652,0.0461032848719,0.041354989866,0.0509631088438,0.0020715350933,0.1,f1db031425071febea902b5a930da8e852ad0845c877722404229e64749f06d1,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPB,DPB,full,calibrated,calibrated,5,4027,202,0.0501614104793,0.056133584843,0.0509699545707,0.0615514598716,0.00597217436373,0.1,f1db031425071febea902b5a930da8e852ad0845c877722404229e64749f06d1,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPB,DPB,full,calibrated,calibrated,6,4027,243,0.0603426868637,0.0682322765966,0.0615522588055,0.0755513094607,0.00788958973298,0.1,f1db031425071febea902b5a930da8e852ad0845c877722404229e64749f06d1,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPB,DPB,full,calibrated,calibrated,7,4027,399,0.0990812018873,0.0837119477876,0.0755567963436,0.0928216375441,0.0153692540996,0.1,f1db031425071febea902b5a930da8e852ad0845c877722404229e64749f06d1,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPB,DPB,full,calibrated,calibrated,8,4027,508,0.126148497641,0.104898761365,0.0928298205096,0.118745286221,0.0212497362759,0.1,f1db031425071febea902b5a930da8e852ad0845c877722404229e64749f06d1,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPB,DPB,full,calibrated,calibrated,9,4027,679,0.168611869878,0.139835426229,0.118765376399,0.165352890244,0.0287764436498,0.1,f1db031425071febea902b5a930da8e852ad0845c877722404229e64749f06d1,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPB,DPB,full,calibrated,calibrated,10,4027,926,0.229947851999,0.233111907457,0.165361436264,0.661089342473,0.00316405545824,0.1,f1db031425071febea902b5a930da8e852ad0845c877722404229e64749f06d1,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPB,DPB,full,raw,raw,1,4027,44,0.0109262478272,0.0136664918884,2.05462592474e-06,0.0211045994044,0.0027402440612,0.1,f1db031425071febea902b5a930da8e852ad0845c877722404229e64749f06d1,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPB,DPB,full,raw,raw,2,4027,91,0.0225974670971,0.0264972009508,0.0211048698045,0.0317136460721,0.00389973385366,0.1,f1db031425071febea902b5a930da8e852ad0845c877722404229e64749f06d1,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPB,DPB,full,raw,raw,3,4027,191,0.0474298485225,0.0365188508391,0.0317178180454,0.0413532366055,0.0109109976833,0.1,f1db031425071febea902b5a930da8e852ad0845c877722404229e64749f06d1,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPB,DPB,full,raw,raw,4,4027,194,0.0481748199652,0.0461032848719,0.041354989866,0.0509631088438,0.0020715350933,0.1,f1db031425071febea902b5a930da8e852ad0845c877722404229e64749f06d1,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPB,DPB,full,raw,raw,5,4027,202,0.0501614104793,0.056133584843,0.0509699545707,0.0615514598716,0.00597217436373,0.1,f1db031425071febea902b5a930da8e852ad0845c877722404229e64749f06d1,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPB,DPB,full,raw,raw,6,4027,243,0.0603426868637,0.0682322765966,0.0615522588055,0.0755513094607,0.00788958973298,0.1,f1db031425071febea902b5a930da8e852ad0845c877722404229e64749f06d1,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
