panel,estimand_role,estimand,outcome,period_summary,model_family,quantile,profile_block,representation,metric,metric_direction,estimate,evidence_label,label_namespace,source_path,source_sha256,note
breach_probability__later_monthly_median,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_monthly_median,xgboost,,both,full,favourable_month_count,larger_is_more_consistent,5,Mixed,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_monthly_median,xgboost,,seller,full,delta_brier,negative_is_better,-1.96016143433e-05,Supported,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_monthly_median,xgboost,,seller,full,delta_log_loss,negative_is_better,-0.000144657998041,Supported,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_monthly_median,xgboost,,seller,full,favourable_month_count,larger_is_more_consistent,5,Supported,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_monthly_median,xgboost,,state_od,full,delta_brier,negative_is_better,-0.00026123594082,Mixed,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_monthly_median,xgboost,,state_od,full,delta_log_loss,negative_is_better,-0.00197620878246,Mixed,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_monthly_median,xgboost,,state_od,full,favourable_month_count,larger_is_more_consistent,5,Mixed,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,secondary_current_context_robustness,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,breach_probability,later_monthly_median,logistic_l2,,both,full,delta_brier,negative_is_better,-0.00124549078367,Supported,RQ3_current_context_order_evidence,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,secondary_current_context_robustness,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,breach_probability,later_monthly_median,logistic_l2,,both,full,delta_log_loss,negative_is_better,-0.0118082057867,Supported,RQ3_current_context_order_evidence,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,secondary_current_context_robustness,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,breach_probability,later_monthly_median,logistic_l2,,both,full,favourable_month_count,larger_is_more_consistent,4,Supported,RQ3_current_context_order_evidence,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,secondary_current_context_robustness,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,breach_probability,later_monthly_median,logistic_l2,,seller,full,delta_brier,negative_is_better,-0.000409649138751,Supported,RQ3_current_context_order_evidence,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,secondary_current_context_robustness,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,breach_probability,later_monthly_median,logistic_l2,,seller,full,delta_log_loss,negative_is_better,-0.00362976512882,Supported,RQ3_current_context_order_evidence,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,secondary_current_context_robustness,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,breach_probability,later_monthly_median,logistic_l2,,seller,full,favourable_month_count,larger_is_more_consistent,6,Supported,RQ3_current_context_order_evidence,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,secondary_current_context_robustness,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,breach_probability,later_monthly_median,logistic_l2,,state_od,full,delta_brier,negative_is_better,-0.000967202240254,Mixed,RQ3_current_context_order_evidence,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,secondary_current_context_robustness,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,breach_probability,later_monthly_median,logistic_l2,,state_od,full,delta_log_loss,negative_is_better,-0.00934112747353,Mixed,RQ3_current_context_order_evidence,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,secondary_current_context_robustness,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,breach_probability,later_monthly_median,logistic_l2,,state_od,full,favourable_month_count,larger_is_more_consistent,3,Mixed,RQ3_current_context_order_evidence,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,secondary_current_context_robustness,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,breach_probability,later_monthly_median,xgboost,,both,full,delta_brier,negative_is_better,-0.000127879810165,Supported,RQ3_current_context_order_evidence,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,secondary_current_context_robustness,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,breach_probability,later_monthly_median,xgboost,,both,full,delta_log_loss,negative_is_better,-0.000906255739247,Supported,RQ3_current_context_order_evidence,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
