task,period,cohort,family,model_id,quantile,reference_kind,population,metric,all_mature_value,reference_value,all_mature_minus_reference,n_orders,n_events,order_id_sha256,difference_aggregation
breach,terminal,2018-07_to_2018-08,logistic_l2,DPS,,promise_only,all_mature_support_ge20,brier,0.0475499656408,0.0474365980417,0.000113367599086,8594,425,cedb953f88f1be369845f61b51248676e162c2e395eceff210fd7a7f27037418,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPS,,promise_only,all_mature_support_ge20,log_loss,0.200601888865,0.200614584491,-1.26956258932e-05,8594,425,cedb953f88f1be369845f61b51248676e162c2e395eceff210fd7a7f27037418,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPS,,promise_only,all_mature_support_ge20,wace,0.029601577854,0.0461382134236,-0.0165366355696,8594,425,cedb953f88f1be369845f61b51248676e162c2e395eceff210fd7a7f27037418,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPS,,promise_only,all_orders,brier,0.0461931984878,0.0462507925329,-5.75940450733e-05,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPS,,promise_only,all_orders,log_loss,0.195789681807,0.197124175549,-0.00133449374179,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPS,,promise_only,all_orders,wace,0.0282818386871,0.0475880898335,-0.0193062511464,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPS,,selected_90d,all_orders,brier,0.0461931984878,0.0458496635207,0.000343534967083,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPS,,selected_90d,all_orders,log_loss,0.195789681807,0.19278392195,0.00300575985646,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPS,,selected_90d,all_orders,wace,0.0282818386871,0.0223871472989,0.00589469138819,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPS,,selected_90d,common_support_ge20,brier,0.048218793357,0.0477373560297,0.000481437327302,6374,320,10165f413bd12d273891cb81bda012f0350ebac406d0ecebefe74a679a6ed619,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPS,,selected_90d,common_support_ge20,log_loss,0.202799651844,0.198783053459,0.00401659838449,6374,320,10165f413bd12d273891cb81bda012f0350ebac406d0ecebefe74a679a6ed619,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPS,,selected_90d,common_support_ge20,wace,0.0298356460985,0.0219477681604,0.00788787793811,6374,320,10165f413bd12d273891cb81bda012f0350ebac406d0ecebefe74a679a6ed619,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPB,,promise_only,all_mature_support_ge20,brier,0.0470448806689,0.0467655534787,0.0002793271902,8419,409,d7d7f27475affc960fd8d8ce09afac37ff2c5730ba8e6ba09e30339cc103b58a,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPB,,promise_only,all_mature_support_ge20,log_loss,0.200856489157,0.198877662804,0.00197882635295,8419,409,d7d7f27475affc960fd8d8ce09afac37ff2c5730ba8e6ba09e30339cc103b58a,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPB,,promise_only,all_mature_support_ge20,wace,0.0291395650227,0.0415240599581,-0.0123844949354,8419,409,d7d7f27475affc960fd8d8ce09afac37ff2c5730ba8e6ba09e30339cc103b58a,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPB,,promise_only,all_orders,brier,0.0465989812315,0.0463179732128,0.000281008018697,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPB,,promise_only,all_orders,log_loss,0.199546733675,0.197558715873,0.00198801780273,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPB,,promise_only,all_orders,wace,0.0322265083503,0.0414146306232,-0.00918812227293,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPB,,selected_90d,all_orders,brier,0.0465989812315,0.0462904118737,0.000308569357804,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPB,,selected_90d,all_orders,log_loss,0.199546733675,0.197348094275,0.0021986394008,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPB,,selected_90d,all_orders,wace,0.0322265083503,0.02731281988,0.0049136884703,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPB,,selected_90d,common_support_ge20,brier,0.0477727227187,0.0474737856049,0.000298937113812,6109,302,0ea5ea0309c560d9409e585d43df763e5969050387240f40684a209dd4c2a48f,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPB,,selected_90d,common_support_ge20,log_loss,0.203016950488,0.200885578086,0.00213137240268,6109,302,0ea5ea0309c560d9409e585d43df763e5969050387240f40684a209dd4c2a48f,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPB,,selected_90d,common_support_ge20,wace,0.0272225767416,0.0241815019993,0.00304107474221,6109,302,0ea5ea0309c560d9409e585d43df763e5969050387240f40684a209dd4c2a48f,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPG,,promise_only,all_mature_support_ge20,brier,0.0462896163377,0.0458500422248,0.000439574112878,12231,581,f844484adc6ee85aa6bd78c62daa26cbf367fc48fff4196881b16593342860d7,paired_same_terminal_orders
