task,period,row_type,cohort,family,model_id,quantile,reference_kind,population,metric,all_mature_value,reference_value,all_mature_minus_reference,n_orders,order_id_sha256,difference_aggregation
breach,later,monthly,2018-01,logistic_l2,DPG,,promise_only,all_mature_support_ge20,calibration_slope,0.834909261385,-0.240636002938,1.07554526432,6848,a8259b83a598732e8d792ebb52388050b2b7ba388157abdcb364b62a3abc21eb,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPG,,promise_only,all_mature_support_ge20,wace,0.0144430202649,0.0231513601722,-0.00870833990727,6848,a8259b83a598732e8d792ebb52388050b2b7ba388157abdcb364b62a3abc21eb,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPG,,promise_only,all_orders,absolute_calibration_intercept_error,0.135936189137,3.51670146206,-3.38076527293,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPG,,promise_only,all_orders,absolute_calibration_slope_error,0.14453472604,1.22400281274,-1.0794680867,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPG,,promise_only,all_orders,calibration_intercept,-0.135936189137,-3.51670146206,3.38076527293,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPG,,promise_only,all_orders,calibration_slope,0.85546527396,-0.224002812736,1.0794680867,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPG,,promise_only,all_orders,wace,0.0152941829622,0.0239037354081,-0.00860955244593,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPG,,selected_90d,all_orders,absolute_calibration_intercept_error,0.135936189137,0.0743962367279,0.0615399524094,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPG,,selected_90d,all_orders,absolute_calibration_slope_error,0.14453472604,0.0745028802732,0.0700318457672,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPG,,selected_90d,all_orders,calibration_intercept,-0.135936189137,-0.0743962367279,-0.0615399524094,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
