task,period,row_type,cohort,family,quantile,model_id,profile_block,history_mode,reference_kind,reference_model,population,n_orders,order_id_sha256,paired_exact,all_mature_pinball_loss,reference_pinball_loss,delta_pinball_loss,all_mature_pinball_skill_vs_reference,reference_pinball_skill_vs_reference,delta_pinball_skill_vs_reference,all_mature_empirical_coverage,reference_empirical_coverage,delta_empirical_coverage,all_mature_coverage_error,reference_coverage_error,delta_coverage_error,all_mature_absolute_coverage_error,reference_absolute_coverage_error,delta_absolute_coverage_error,all_mature_p90_absolute_error,reference_p90_absolute_error,delta_p90_absolute_error,favourable_primary,n_months,favourable_month_count,favourable_month_count_pinball_loss,favourable_month_count_absolute_coverage_error,difference_aggregation
severity,later,monthly,2018-01,linear_quantile,0.5,DQB,all-mature seller pre-handoff and state-OD transit profiles,all_mature,promise_only,DQ0,all_mature_support_ge20,267,0b1b952793ce42162cc31f50030394259108670fca92ae2ba3619099a3a1508e,True,3.84490340073,3.73650680891,0.108396591818,-0.0290101416541,0,-0.0290101416541,0.426966292135,0.453183520599,-0.0262172284644,-0.0730337078652,-0.0468164794007,-0.0262172284644,0.0730337078652,0.0468164794007,0.0262172284644,18.8235124741,17.9310245826,0.892487891522,False,,,,,paired_same_month_identical_orders
severity,later,monthly,2018-01,linear_quantile,0.5,DQB,all-mature seller pre-handoff and state-OD transit profiles,all_mature,promise_only,DQ0,all_orders,403,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,True,4.30316248074,4.23722268556,0.065939795176,-0.0155620320359,0,-0.0155620320359,0.404466501241,0.416873449132,-0.0124069478908,-0.0955334987593,-0.0831265508685,-0.0124069478908,0.0955334987593,0.0831265508685,0.0124069478908,19.5972411579,19.226065758,0.371175399884,False,,,,,paired_same_month_identical_orders
severity,later,monthly,2018-01,linear_quantile,0.5,DQB,all-mature seller pre-handoff and state-OD transit profiles,all_mature,selected_90d,DQB,all_orders,403,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,True,4.30316248074,4.24130451873,0.0618579620112,-0.0145846547302,0,-0.0145846547302,0.404466501241,0.446650124069,-0.0421836228288,-0.0955334987593,-0.0533498759305,-0.0421836228288,0.0955334987593,0.0533498759305,0.0421836228288,19.5972411579,18.538171383,1.0590697749,False,,,,,paired_same_month_identical_orders
severity,later,monthly,2018-01,linear_quantile,0.5,DQB,all-mature seller pre-handoff and state-OD transit profiles,all_mature,selected_90d,DQB,common_support_ge20,221,49b2b4d9b1dc1008693677c7b8248aa25320e1ca0edcb6c58146e808d40d0b4c,True,3.69536789435,3.67551476249,0.0198531318647,-0.00540145616263,0,-0.00540145616263,0.438914027149,0.488687782805,-0.0497737556561,-0.0610859728507,-0.0113122171946,-0.0497737556561,0.0610859728507,0.0113122171946,0.0497737556561,15.8946070162,15.6318735991,0.26273341711,False,,,,,paired_same_month_identical_orders
severity,later,monthly,2018-01,linear_quantile,0.5,DQG,all-mature state-OD transit profiles,all_mature,promise_only,DQ0,all_mature_support_ge20,387,3235a2073575728f338527fd52f81af615e3a5da71deea376d26db74d8bcf4b3,True,4.40154539059,4.33933905239,0.0622063381973,-0.0143354408232,0,-0.0143354408232,0.405684754522,0.413436692506,-0.0077519379845,-0.094315245478,-0.0865633074935,-0.0077519379845,0.094315245478,0.0865633074935,0.0077519379845,20.4505066606,20.3998218117,0.050684848862,False,,,,,paired_same_month_identical_orders
severity,later,monthly,2018-01,linear_quantile,0.5,DQG,all-mature state-OD transit profiles,all_mature,promise_only,DQ0,all_orders,403,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,True,4.29427210594,4.23722268556,0.0570494203839,-0.0134638711764,0,-0.0134638711764,0.406947890819,0.416873449132,-0.00992555831266,-0.0930521091811,-0.0831265508685,-0.00992555831266,0.0930521091811,0.0831265508685,0.00992555831266,19.9167094495,19.226065758,0.690643691464,False,,,,,paired_same_month_identical_orders
severity,later,monthly,2018-01,linear_quantile,0.5,DQG,all-mature state-OD transit profiles,all_mature,selected_90d,DQG,all_orders,403,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,True,4.29427210594,4.22416375934,0.0701083466038,-0.01659697649,0,-0.01659697649,0.406947890819,0.449131513648,-0.0421836228288,-0.0930521091811,-0.0508684863524,-0.0421836228288,0.0930521091811,0.0508684863524,0.0421836228288,19.9167094495,18.6432967151,1.27341273439,False,,,,,paired_same_month_identical_orders
severity,later,monthly,2018-01,linear_quantile,0.5,DQG,all-mature state-OD transit profiles,all_mature,selected_90d,DQG,common_support_ge20,376,02ddeb31e40ed2b73164f9a9beb44d8ae6505303f2636a763378a36f5583828f,True,4.30985757633,4.22805407587,0.081803500465,-0.0193477895498,0,-0.0193477895498,0.406914893617,0.449468085106,-0.0425531914894,-0.093085106383,-0.0505319148936,-0.0425531914894,0.093085106383,0.0505319148936,0.0425531914894,19.8146610385,18.4347975703,1.37986346825,False,,,,,paired_same_month_identical_orders
severity,later,monthly,2018-01,linear_quantile,0.5,DQS,all-mature seller pre-handoff profiles,all_mature,promise_only,DQ0,all_mature_support_ge20,274,3dda9d0ee615a5f6c364affea025934f76366da2c2d827bcf120f81e73028fc1,True,3.74423523074,3.69259134044,0.0516438902986,-0.0139858125466,0,-0.0139858125466,0.43795620438,0.459854014599,-0.021897810219,-0.0620437956204,-0.0401459854015,-0.021897810219,0.0620437956204,0.0401459854015,0.021897810219,17.5764163704,17.4534659869,0.122950383503,False,,,,,paired_same_month_identical_orders
severity,later,monthly,2018-01,linear_quantile,0.5,DQS,all-mature seller pre-handoff profiles,all_mature,promise_only,DQ0,all_orders,403,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,True,4.25520706192,4.23722268556,0.0179843763546,-0.00424437837923,0,-0.00424437837923,0.404466501241,0.416873449132,-0.0124069478908,-0.0955334987593,-0.0831265508685,-0.0124069478908,0.0955334987593,0.0831265508685,0.0124069478908,19.2651724933,19.226065758,0.039106735296,False,,,,,paired_same_month_identical_orders
