profile_code,candidate_id,base_candidate_id,snapshot_date_min,snapshot_date_max,snapshot_count,row_count,history_mode,store_path,store_sha256
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,2016-12-03,2018-08-30,636,179373,all_mature,ALL_MATURE_PROFILE_DAILY_SCORES.csv.gz,14b81eae7409384407c54523bf29fed6d503fc30f531fd437065cc6e60096873
R2,transit_tail|state_od|A|w90|l0|P1|parent=global|kappa=10|min_support=5,transit_tail|state_od|A|w90|l0|P1|parent=global|kappa=10,2016-12-03,2018-08-30,636,179373,all_mature,ALL_MATURE_PROFILE_DAILY_SCORES.csv.gz,14b81eae7409384407c54523bf29fed6d503fc30f531fd437065cc6e60096873
S1,handling_level|seller_id|C|w90|l14|P1|parent=global|kappa=na|min_support=5,handling_level|seller_id|C|w90|l14|P1|parent=global|kappa=na,2016-12-03,2018-08-30,636,867342,all_mature,ALL_MATURE_PROFILE_DAILY_SCORES.csv.gz,14b81eae7409384407c54523bf29fed6d503fc30f531fd437065cc6e60096873
S2,handling_tail|seller_id|A|w90|l0|P1|parent=global|kappa=10|min_support=5,handling_tail|seller_id|A|w90|l0|P1|parent=global|kappa=10,2016-12-03,2018-08-30,636,897724,all_mature,ALL_MATURE_PROFILE_DAILY_SCORES.csv.gz,14b81eae7409384407c54523bf29fed6d503fc30f531fd437065cc6e60096873
