task,period,row_type,cohort,family,model_id,profile_block,history_mode,reference_kind,reference_model,population,n_orders,n_events,order_id_sha256,paired_exact,all_mature_log_loss,reference_log_loss,delta_log_loss,all_mature_brier,reference_brier,delta_brier,all_mature_average_precision,reference_average_precision,delta_average_precision,all_mature_roc_auc,reference_roc_auc,delta_roc_auc,all_mature_top_5pct_lift,reference_top_5pct_lift,delta_top_5pct_lift,all_mature_top_10pct_lift,reference_top_10pct_lift,delta_top_10pct_lift,all_mature_calibration_intercept,reference_calibration_intercept,delta_calibration_intercept,all_mature_calibration_slope,reference_calibration_slope,delta_calibration_slope,all_mature_wace,reference_wace,delta_wace,all_mature_absolute_calibration_intercept_error,reference_absolute_calibration_intercept_error,delta_absolute_calibration_intercept_error,all_mature_absolute_calibration_slope_error,reference_absolute_calibration_slope_error,delta_absolute_calibration_slope_error,favourable_primary,n_months,favourable_month_count,favourable_month_count_log_loss,favourable_month_count_brier,favourable_month_count_wace,favourable_month_count_absolute_calibration_intercept_error,favourable_month_count_absolute_calibration_slope_error,favourable_month_count_average_precision,favourable_month_count_roc_auc,favourable_month_count_top_5pct_lift,favourable_month_count_top_10pct_lift,difference_aggregation
breach,later,monthly,2018-01,logistic_l2,DPB,all-mature seller pre-handoff and state-OD transit profiles,all_mature,promise_only,DP0,all_mature_support_ge20,5047,267,e19a09cfd01efdcc249492f2cfefe77cff09ae0bf159146e3b78d0eedd3757bb,True,0.200486459063,0.211110104087,-0.0106236450249,0.0490991472616,0.0504287787055,-0.0013296314439,0.111535100458,0.0444604316487,0.0670746688095,0.650531239716,0.450275022331,0.200256217385,3.21269855369,0.298855679413,2.91384287427,2.54530351912,0.48660214336,2.05870137576,-0.339198970176,-4.61803029897,4.2788313288,0.810338738331,-0.545468615392,1.35580735372,0.010759760433,0.0225273679162,-0.0117676074833,0.339198970176,4.61803029897,-4.2788313288,0.189661261669,1.54546861539,-1.35580735372,True,,,,,,,,,,,,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPB,all-mature seller pre-handoff and state-OD transit profiles,all_mature,promise_only,DP0,all_orders,7069,403,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,True,0.212211938124,0.223246686157,-0.0110347480324,0.052763327265,0.054136770414,-0.001373443149,0.115732141227,0.0508291207197,0.0649030205068,0.659676637639,0.475224073276,0.184452564363,2.87393980177,0.594608234849,2.27933156692,2.45622821765,0.645070036958,1.81115818069,-0.151107765456,-3.51670146206,3.36559369661,0.838102427639,-0.224002812736,1.06210524038,0.0149226766902,0.0239037354081,-0.00898105871794,0.151107765456,3.51670146206,-3.36559369661,0.161897572361,1.22400281274,-1.06210524038,True,,,,,,,,,,,,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPB,all-mature seller pre-handoff and state-OD transit profiles,all_mature,selected_90d,DPB,all_orders,7069,403,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,True,0.212211938124,0.20632080035,0.0058911377737,0.052763327265,0.0521303101206,0.000633017144464,0.115732141227,0.128738075356,-0.0130059341299,0.659676637639,0.688136307427,-0.0284596697883,2.87393980177,3.27034529167,-0.396405489899,2.45622821765,2.50584898972,-0.0496207720737,-0.151107765456,-0.0911194650265,-0.0599883004294,0.838102427639,0.933844777076,-0.0957423494372,0.0149226766902,0.00978790682322,0.00513476986699,0.151107765456,0.0911194650265,0.0599883004294,0.161897572361,0.0661552229241,0.0957423494372,False,,,,,,,,,,,,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPB,all-mature seller pre-handoff and state-OD transit profiles,all_mature,selected_90d,DPB,common_support_ge20,4261,221,c3306cb36b0882481e724b819e6b942b80d4fc0cb8fb1250c1c235be938e0805,True,0.194943042785,0.19159949096,0.00334355182448,0.0479315069546,0.0475746681131,0.000356838841496,0.119290526356,0.127681025882,-0.00839049952553,0.668994444693,0.692930424264,-0.0239359795708,3.51374381528,3.60383981055,-0.0900959952637,2.84467027669,2.79951678023,0.0451534964553,-0.0185620958756,-0.0411251363933,0.0225630405177,0.933192619739,0.997029409037,-0.0638367892974,0.0094657120512,0.00837949062781,0.00108622142339,0.0185620958756,0.0411251363933,-0.0225630405177,0.0668073802605,0.00297059096311,0.0638367892974,False,,,,,,,,,,,,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPG,all-mature state-OD transit profiles,all_mature,promise_only,DP0,all_mature_support_ge20,6848,387,a8259b83a598732e8d792ebb52388050b2b7ba388157abdcb364b62a3abc21eb,True,0.212359614308,0.221588541607,-0.00922892729923,0.0525043733048,0.0536740420705,-0.00116966876566,0.11077783337,0.050457353727,0.0603204796434,0.645056984723,0.475076257585,0.169980727138,2.57945924771,0.61907021945,1.96038902826,2.5057281352,0.645806220412,1.85992191479,-0.209492187699,-3.57753558386,3.36804339616,0.834909261385,-0.240636002938,1.07554526432,0.0144430202649,0.0231513601722,-0.00870833990727,0.209492187699,3.57753558386,-3.36804339616,0.165090738615,1.24063600294,-1.07554526432,True,,,,,,,,,,,,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPG,all-mature state-OD transit profiles,all_mature,promise_only,DP0,all_orders,7069,403,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,True,0.213382866704,0.223246686157,-0.00986381945275,0.0528814273071,0.054136770414,-0.00125534310689,0.114921540641,0.0508291207197,0.0640924199217,0.648097191853,0.475224073276,0.172873118577,2.72528774306,0.594608234849,2.13067950821,2.55546976179,0.645070036958,1.91039972484,-0.135936189137,-3.51670146206,3.38076527293,0.85546527396,-0.224002812736,1.0794680867,0.0152941829622,0.0239037354081,-0.00860955244593,0.135936189137,3.51670146206,-3.38076527293,0.14453472604,1.22400281274,-1.0794680867,True,,,,,,,,,,,,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPG,all-mature state-OD transit profiles,all_mature,selected_90d,DPG,all_orders,7069,403,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,True,0.213382866704,0.209479847574,0.00390301912962,0.0528814273071,0.0524913905767,0.000390036730388,0.114921540641,0.115881125147,-0.00095958450573,0.648097191853,0.670407363317,-0.0223101714638,2.72528774306,3.07214254672,-0.346854803662,2.55546976179,2.80357362216,-0.248103860368,-0.135936189137,-0.0743962367279,-0.0615399524094,0.85546527396,0.925497119727,-0.0700318457672,0.0152941829622,0.00935348856106,0.00594069440115,0.135936189137,0.0743962367279,0.0615399524094,0.14453472604,0.0745028802732,0.0700318457672,False,,,,,,,,,,,,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPG,all-mature state-OD transit profiles,all_mature,selected_90d,DPG,common_support_ge20,6683,376,d944e88f896a259a9f4bf390aab2dacfdedd809348671d0240178db2be712368,True,0.211712655239,0.207921626261,0.00379102897759,0.052285127342,0.0519047692101,0.000380358131879,0.110606974061,0.112384013497,-0.0017770394361,0.644425393602,0.667179577572,-0.0227541839699,2.5467132423,3.07727850111,-0.530565258812,2.47081623891,2.78963123748,-0.318814998569,-0.225706854606,-0.137737043746,-0.0879698108597,0.831304407283,0.909165938147,-0.077861530864,0.0139808652145,0.00817682511484,0.00580404009965,0.225706854606,0.137737043746,0.0879698108597,0.168695592717,0.0908340618529,0.077861530864,False,,,,,,,,,,,,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPS,all-mature seller pre-handoff profiles,all_mature,promise_only,DP0,all_mature_support_ge20,5136,274,514d7609b5720738435f4e4cb5b5fd9cd7bb326b10a62d9899a86c2bd4b85718,True,0.211847866726,0.212489998977,-0.000642132251693,0.0507574124116,0.0508368458133,-7.94334017186e-05,0.0602374104005,0.045018017777,0.0152193926236,0.505188456884,0.452954838206,0.0522336186784,1.23991025022,0.291743588287,0.948166661933,0.875230764861,0.510551279502,0.364679485359,-2.4927352753,-4.43087697575,1.93814170045,0.121064965355,-0.488851477506,0.609916442861,0.0182057074729,0.0228751064497,-0.00466939897682,2.4927352753,4.43087697575,-1.93814170045,0.878935034645,1.48885147751,-0.609916442861,True,,,,,,,,,,,,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPS,all-mature seller pre-handoff profiles,all_mature,promise_only,DP0,all_orders,7069,403,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,True,0.223064458705,0.223246686157,-0.000182227451573,0.0540749243338,0.054136770414,-6.18460802462e-05,0.0631538632686,0.0508291207197,0.0123247425489,0.516384020536,0.475224073276,0.0411599472602,1.33786852841,0.594608234849,0.743260293561,0.992415441473,0.645070036958,0.347345404516,-2.04956302102,-3.51670146206,1.46713844104,0.237840756262,-0.224002812736,0.461843568998,0.0186770219858,0.0239037354081,-0.00522671342235,2.04956302102,3.51670146206,-1.46713844104,0.762159243738,1.22400281274,-0.461843568998,True,,,,,,,,,,,,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPS,all-mature seller pre-handoff profiles,all_mature,selected_90d,DPS,all_orders,7069,403,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,True,0.223064458705,0.221389962696,0.00167449600915,0.0540749243338,0.0539073402211,0.000167584112655,0.0631538632686,0.0708330132595,-0.00767914999096,0.516384020536,0.528800274568,-0.0124162540324,1.33786852841,1.78382470455,-0.445956176137,0.992415441473,1.43900239014,-0.446586948663,-2.04956302102,-1.5472264393,-0.502336581718,0.237840756262,0.402267019004,-0.164426262743,0.0186770219858,0.013950909185,0.0047261128008,2.04956302102,1.5472264393,0.502336581718,0.762159243738,0.597732980996,0.164426262743,False,,,,,,,,,,,,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPS,all-mature seller pre-handoff profiles,all_mature,selected_90d,DPS,common_support_ge20,4397,230,bdab3308f786b6e9296647bb1f40f6387f1c09625e6c7d4c713f58d2215418ca,True,0.207699501059,0.207099424552,0.000600076507199,0.049754026175,0.0496820514559,7.19747190893e-05,0.0569172722899,0.0610343342671,-0.00411706197722,0.518930311662,0.52451143039,-0.00558111872789,1.30345849802,1.73794466403,-0.434486166008,0.912420948617,1.26000988142,-0.347588932806,-2.18041241572,-1.83284373969,-0.347568676037,0.227847566562,0.339484080473,-0.11163651391,0.0165673499084,0.011986541806,0.00458080810241,2.18041241572,1.83284373969,0.347568676037,0.772152433438,0.660515919527,0.11163651391,False,,,,,,,,,,,,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPB,all-mature seller pre-handoff and state-OD transit profiles,all_mature,promise_only,DP0,all_mature_support_ge20,5047,267,e19a09cfd01efdcc249492f2cfefe77cff09ae0bf159146e3b78d0eedd3757bb,True,0.206948599349,0.208100013831,-0.00115141448244,0.0501070267663,0.0502028882585,-9.58614921816e-05,0.0702575137739,0.0531105282028,0.0171469855711,0.620613354646,0.477172754768,0.143440599878,1.71842015662,1.19542271765,0.522997438972,1.16035895724,1.12292802314,0.0374309341046,6.05296903031,-14.7920439923,20.8450130226,2.92168300817,-3.85160496777,6.77328797594,0.0238291167058,0.0144408419831,0.00938827472265,6.05296903031,14.7920439923,-8.73907496196,1.92168300817,4.85160496777,-2.92992195961,True,,,,,,,,,,,,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPB,all-mature seller pre-handoff and state-OD transit profiles,all_mature,promise_only,DP0,all_orders,7069,403,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,True,0.219586804412,0.220713443132,-0.00112663872049,0.053851525903,0.0539458226024,-9.42966993937e-05,0.0741066253936,0.0579271016991,0.0161795236945,0.612523907478,0.493400828917,0.119123078561,1.48652058712,1.33786852841,0.148652058712,1.14127775769,1.19089852977,-0.0496207720737,6.10919206914,-5.67757799403,11.7867700632,2.91102025468,-0.928964852352,3.83998510703,0.0238111055571,0.0167570765094,0.00705402904762,6.10919206914,5.67757799403,0.431614075102,1.91102025468,1.92896485235,-0.0179445976711,True,,,,,,,,,,,,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPB,all-mature seller pre-handoff and state-OD transit profiles,all_mature,selected_90d,DPB,all_orders,7069,403,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,True,0.219586804412,0.218902384478,0.000684419933735,0.053851525903,0.0537913581582,6.01677447265e-05,0.0741066253936,0.0923863549809,-0.0182797295874,0.612523907478,0.657978452932,-0.0454545454545,1.48652058712,1.88292607702,-0.396405489899,1.14127775769,1.8855893388,-0.744311581105,6.10919206914,8.77232105173,-2.66312898259,2.91102025468,3.78412242689,-0.873102172213,0.0238111055571,0.0249893733385,-0.00117826778142,6.10919206914,8.77232105173,-2.66312898259,1.91102025468,2.78412242689,-0.873102172213,False,,,,,,,,,,,,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPB,all-mature seller pre-handoff and state-OD transit profiles,all_mature,selected_90d,DPB,common_support_ge20,4261,221,c3306cb36b0882481e724b819e6b942b80d4fc0cb8fb1250c1c235be938e0805,True,0.203544960245,0.203040885587,0.000504074658082,0.0491422321623,0.0490984570686,4.37750936477e-05,0.0744810550285,0.0887368888277,-0.0142558337992,0.638759464182,0.675711213655,-0.0369517494736,2.07220789106,2.16230388633,-0.0900959952637,1.3094513972,1.89644685112,-0.586995453919,7.9133952503,8.49588013713,-0.582484886825,3.53936253626,3.72891118653,-0.189548650265,0.0241113714253,0.0240866422672,2.47291580801e-05,7.9133952503,8.49588013713,-0.582484886825,2.53936253626,2.72891118653,-0.189548650265,False,,,,,,,,,,,,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPG,all-mature state-OD transit profiles,all_mature,promise_only,DP0,all_mature_support_ge20,6848,387,a8259b83a598732e8d792ebb52388050b2b7ba388157abdcb364b62a3abc21eb,True,0.217985069254,0.219165552455,-0.00118048320102,0.0533907718261,0.0534913306343,-0.000100558808218,0.0802093928959,0.0575847759475,0.0226246169484,0.627732205197,0.494468900463,0.133263304734,2.11515658312,1.28972962385,0.825426959267,1.26578019201,1.18828344556,0.0774967464494,9.22409175966,-5.27893941966,14.5030311793,3.91602135755,-0.797174699157,4.7131960567,0.0228143251364,0.0163464685168,0.00646785661964,9.22409175966,5.27893941966,3.94515233999,2.91602135755,1.79717469916,1.11884665839,True,,,,,,,,,,,,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPG,all-mature state-OD transit profiles,all_mature,promise_only,DP0,all_orders,7069,403,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,True,0.219508931897,0.220713443132,-0.00120451123547,0.0538432431933,0.0539458226024,-0.000102579409057,0.0806730205364,0.0579271016991,0.0227459188373,0.627514798626,0.493400828917,0.13411396971,2.03157813573,1.33786852841,0.693709607324,1.26532968788,1.19089852977,0.0744311581105,9.45563005176,-5.67757799403,15.1332080458,3.98862462813,-0.928964852352,4.91758948048,0.0237477207281,0.0167570765094,0.00699064421866,9.45563005176,5.67757799403,3.77805205772,2.98862462813,1.92896485235,1.05965977578,True,,,,,,,,,,,,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPG,all-mature state-OD transit profiles,all_mature,selected_90d,DPG,all_orders,7069,403,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,True,0.219508931897,0.219296082978,0.000212848918881,0.0538432431933,0.0538293462464,1.38969468977e-05,0.0806730205364,0.100432641509,-0.0197596209721,0.627514798626,0.659222497932,-0.0317076993059,2.03157813573,2.57663568434,-0.545057548611,1.26532968788,2.40660744557,-1.14127775769,9.45563005176,8.12198126913,1.33364878263,3.98862462813,3.54877779432,0.439846833812,0.0237477207281,0.0242568121817,-0.000509091453604,9.45563005176,8.12198126913,1.33364878263,2.98862462813,2.54877779432,0.439846833812,False,,,,,,,,,,,,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPG,all-mature state-OD transit profiles,all_mature,selected_90d,DPG,common_support_ge20,6683,376,d944e88f896a259a9f4bf390aab2dacfdedd809348671d0240178db2be712368,True,0.217200302941,0.217017768309,0.000182534632206,0.0531610099057,0.0531500318904,1.09780152772e-05,0.0802911405484,0.0984603847744,-0.0181692442259,0.628884994383,0.658878896802,-0.0299939024185,2.17531756113,2.49365671642,-0.318339155287,1.30182791082,2.36454457272,-1.0627166619,9.18386160247,7.78738620641,1.39647539607,3.90444114037,3.4432948162,0.461146324176,0.021990879879,0.0240465110773,-0.00205563119826,9.18386160247,7.78738620641,1.39647539607,2.90444114037,2.4432948162,0.461146324176,False,,,,,,,,,,,,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPS,all-mature seller pre-handoff profiles,all_mature,promise_only,DP0,all_mature_support_ge20,5136,274,514d7609b5720738435f4e4cb5b5fd9cd7bb326b10a62d9899a86c2bd4b85718,True,0.209200654308,0.209478103354,-0.000277449045792,0.0505867530531,0.0506101750834,-2.3422030284e-05,0.0571463242881,0.0537418344264,0.00340448986164,0.518691430939,0.47848013944,0.0402112914994,0.948166661933,1.16697435315,-0.218807691215,1.09403845608,1.13050640461,-0.0364679485359,0.246660886296,-14.0407249804,14.2873858667,1.01389724205,-3.61098937251,4.62488661456,0.0101540304881,0.0144508160974,-0.00429678560927,0.246660886296,14.0407249804,-13.7940640941,0.013897242051,4.61098937251,-4.59709213046,True,,,,,,,,,,,,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPS,all-mature seller pre-handoff profiles,all_mature,promise_only,DP0,all_orders,7069,403,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,True,0.220486196093,0.220713443132,-0.000227247038818,0.0539264747094,0.0539458226024,-1.93478929951e-05,0.0618014155139,0.0579271016991,0.00387431381479,0.524168235682,0.493400828917,0.0307674067655,0.743260293561,1.33786852841,-0.594608234849,1.24051930184,1.19089852977,0.0496207720737,1.30724092343,-5.67757799403,6.98481891746,1.33433157814,-0.928964852352,2.2632964305,0.0131837607309,0.0167570765094,-0.00357331577853,1.30724092343,5.67757799403,-4.37033707061,0.334331578144,1.92896485235,-1.59463327421,True,,,,,,,,,,,,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPS,all-mature seller pre-handoff profiles,all_mature,selected_90d,DPS,all_orders,7069,403,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,True,0.220486196093,0.220214673442,0.000271522650741,0.0539264747094,0.053902087899,2.43868103636e-05,0.0618014155139,0.0652123099744,-0.00341089446048,0.524168235682,0.537126293274,-0.0129580575924,0.743260293561,1.09011509722,-0.346854803662,1.24051930184,1.2157089158,0.0248103860368,1.30724092343,6.56753818453,-5.2602972611,1.33433157814,3.04438079226,-1.71004921412,0.0131837607309,0.0155631147867,-0.00237935405577,1.30724092343,6.56753818453,-5.2602972611,0.334331578144,2.04438079226,-1.71004921412,False,,,,,,,,,,,,paired_same_month_identical_orders
